Identifier;Date;Time;Unit number;Antenna number;Transponder type;Transponder code;Weight;Input status;Output status;Event;GPS coordinates
615946;07-03-2024;10:52:29;8;-;Trovan Unique;00079FC9A0;-;00000000;00000000;-;""
615947;07-03-2024;10:52:29;8;-;Trovan Unique;00079FC9A0;-;00000000;00000000;-;""
615948;07-03-2024;10:52:29;8;-;Trovan Unique;00079FC9A0;-;00000000;00000000;-;""
615949;07-03-2024;10:52:29;8;-;Trovan Unique;00079FC9A0;-;00000000;00000000;-;""
615950;07-03-2024;10:52:29;8;-;Trovan Unique;00079FC9A0;-;00000000;00000000;-;""
615951;07-03-2024;10:52:30;8;-;Trovan Unique;00079FC9A0;-;00000000;00000000;-;""
615952;07-03-2024;10:52:37;8;-;Trovan Unique;00079FEC60;-;00000000;00000000;-;""
615953;07-03-2024;10:52:37;8;-;Trovan Unique;00079FEC60;-;00000000;00000000;-;""
615954;07-03-2024;10:52:37;8;-;Trovan Unique;00079FEC60;-;00000000;00000000;-;""
615955;07-03-2024;10:52:38;3;-;Trovan Unique;00079FEC60;-;00000000;00000000;-;""
615956;07-03-2024;10:52:38;3;-;Trovan Unique;00079FEC60;-;00000000;00000000;-;""
615957;07-03-2024;10:52:38;3;-;Trovan Unique;00079FEC60;-;00000000;00000000;-;""
615958;07-03-2024;10:52:43;4;-;Trovan Unique;00079FEC60;-;00000000;00000000;-;""
615962;07-03-2024;10:52:50;8;-;Trovan Unique;0007A2EFA1;-;00000000;00000000;-;""
615963;07-03-2024;10:52:50;8;-;Trovan Unique;0007A2EFA1;-;00000000;00000000;-;""
615964;07-03-2024;10:52:50;8;-;Trovan Unique;0007A2EFA1;-;00000000;00000000;-;""
615965;07-03-2024;10:52:50;8;-;Trovan Unique;0007A2EFA1;-;00000000;00000000;-;""
615966;07-03-2024;10:52:50;8;-;Trovan Unique;0007A2EFA1;-;00000000;00000000;-;""
615967;07-03-2024;10:52:51;3;-;Trovan Unique;0007A2EFA1;-;00000000;00000000;-;""
615968;07-03-2024;10:52:51;8;-;Trovan Unique;00079FED08;-;00000000;00000000;-;""
615969;07-03-2024;10:52:51;3;-;Trovan Unique;0007A2EFA1;-;00000000;00000000;-;""
615970;07-03-2024;10:52:51;8;-;Trovan Unique;00079FED08;-;00000000;00000000;-;""
615971;07-03-2024;10:52:51;3;-;Trovan Unique;0007A2EFA1;-;00000000;00000000;-;""
615972;07-03-2024;10:52:51;8;-;Trovan Unique;00079FED08;-;00000000;00000000;-;""
615973;07-03-2024;10:52:52;3;-;Trovan Unique;00079FED08;-;00000000;00000000;-;""
615974;07-03-2024;10:52:52;3;-;Trovan Unique;00079FED08;-;00000000;00000000;-;""
615975;07-03-2024;10:52:52;3;-;Trovan Unique;00079FED08;-;00000000;00000000;-;""
615976;07-03-2024;10:52:52;3;-;Trovan Unique;00079FED08;-;00000000;00000000;-;""
615977;07-03-2024;10:52:52;3;-;Trovan Unique;00079FED08;-;00000000;00000000;-;""
615978;07-03-2024;10:52:53;4;-;Trovan Unique;0007A2EFA1;-;00000000;00000000;-;""
615979;07-03-2024;10:52:53;4;-;Trovan Unique;0007A2EFA1;-;00000000;00000000;-;""
615980;07-03-2024;10:52:54;9;-;Trovan Unique;0007A2EFA1;-;00000000;00000000;-;""
615981;07-03-2024;10:52:54;9;-;Trovan Unique;0007A2EFA1;-;00000000;00000000;-;""
615982;07-03-2024;10:52:55;9;-;Trovan Unique;0007A2EFA1;-;00000000;00000000;-;""
615983;07-03-2024;10:52:55;9;-;Trovan Unique;0007A2EFA1;-;00000000;00000000;-;""
615984;07-03-2024;10:52:56;5;-;Trovan Unique;00079FED08;-;00000000;00000000;-;""
615985;07-03-2024;10:52:56;5;-;Trovan Unique;00079FED08;-;00000000;00000000;-;""
615986;07-03-2024;10:52:56;10;-;Trovan Unique;00079FED08;-;00000000;00000000;-;""
615987;07-03-2024;10:52:57;10;-;Trovan Unique;00079FED08;-;00000000;00000000;-;""
615988;07-03-2024;10:53:04;10;-;Trovan Unique;00079FED08;-;00000000;00000000;-;""
615989;07-03-2024;10:53:04;5;-;Trovan Unique;00079FED08;-;00000000;00000000;-;""
615990;07-03-2024;10:53:06;1;-;Trovan Unique;00079FED08;-;00000000;00000000;-;""
615991;07-03-2024;10:53:33;1;-;Trovan Unique;00079FED08;-;00000000;00000000;-;""
615992;07-03-2024;10:53:35;2;-;Trovan Unique;00079FED08;-;00000000;00000000;-;""
615993;07-03-2024;10:53:35;2;-;Trovan Unique;00079FED08;-;00000000;00000000;-;""
615994;07-03-2024;10:53:35;2;-;Trovan Unique;00079FED08;-;00000000;00000000;-;""
615995;07-03-2024;10:53:35;7;-;Trovan Unique;00079FED08;-;00000000;00000000;-;""
615996;07-03-2024;10:53:35;7;-;Trovan Unique;00079FED08;-;00000000;00000000;-;""
615997;07-03-2024;10:53:37;9;-;Trovan Unique;0007A3FDE2;-;00000000;00000000;-;""
615998;07-03-2024;10:53:37;9;-;Trovan Unique;0007A3FDE2;-;00000000;00000000;-;""
615999;07-03-2024;10:53:38;9;-;Trovan Unique;0007A3FDE2;-;00000000;00000000;-;""
616000;07-03-2024;10:53:38;9;-;Trovan Unique;0007A3FDE2;-;00000000;00000000;-;""
616001;07-03-2024;10:53:38;9;-;Trovan Unique;0007A3FDE2;-;00000000;00000000;-;""
616002;07-03-2024;10:53:38;9;-;Trovan Unique;0007A3FDE2;-;00000000;00000000;-;""
616003;07-03-2024;10:53:38;9;-;Trovan Unique;0007A3FDE2;-;00000000;00000000;-;""
616004;07-03-2024;10:53:39;4;-;Trovan Unique;0007A3FDE2;-;00000000;00000000;-;""
616005;07-03-2024;10:53:40;5;-;Trovan Unique;0007A3FDE2;-;00000000;00000000;-;""
616006;07-03-2024;10:53:41;10;-;Trovan Unique;0007A3FDE2;-;00000000;00000000;-;""
616007;07-03-2024;10:53:45;7;-;Trovan Unique;00079FED08;-;00000000;00000000;-;""
616008;07-03-2024;10:53:45;7;-;Trovan Unique;00079FED08;-;00000000;00000000;-;""
616009;07-03-2024;10:53:45;2;-;Trovan Unique;00079FED08;-;00000000;00000000;-;""
616010;07-03-2024;10:53:46;3;-;Trovan Unique;00079FED08;-;00000000;00000000;-;""
616011;07-03-2024;10:53:46;3;-;Trovan Unique;00079FED08;-;00000000;00000000;-;""
616012;07-03-2024;10:53:47;8;-;Trovan Unique;00079FED08;-;00000000;00000000;-;""
616013;07-03-2024;10:53:47;8;-;Trovan Unique;00079FED08;-;00000000;00000000;-;""
616014;07-03-2024;10:54:18;10;-;Trovan Unique;0007A3FDE2;-;00000000;00000000;-;""
616015;07-03-2024;10:54:18;10;-;Trovan Unique;0007A3FDE2;-;00000000;00000000;-;""
616016;07-03-2024;10:54:19;5;-;Trovan Unique;0007A3FDE2;-;00000000;00000000;-;""
616017;07-03-2024;10:54:19;5;-;Trovan Unique;0007A3FDE2;-;00000000;00000000;-;""
616018;07-03-2024;10:54:20;1;-;Trovan Unique;0007A3FDE2;-;00000000;00000000;-;""
