Hour,blue_cage,red_cage,orange_cage,yellow_cage,green_cage
0,60.0,0.0,0.0,0,0.0
1,0.0,0.0,0.0,0,0.0
2,0.0,0.0,0.0,0,60.0
3,0.0,0.0,0.0,0,0.0
4,0.0,0.0,0.0,0,0.0
5,3.716666666666667,0.0,2.0166666666666666,0,45.9
6,0.0,0.0,0.0,0,0.0
7,0.0,0.0,0.0,0,0.0
8,0.3,58.71666666666667,0.38333333333333336,0,0.6
9,52.18333333333333,0.0,0.0,0,7.816666666666666
10,0.0,0.0,0.0,0,0.0
11,30.8,2.8333333333333335,0.15,0,3.0
12,1.6666666666666667,16.9,0.36666666666666664,0,32.083333333333336
13,6.15,2.0,1.4833333333333334,0,1.3666666666666667
14,1.6833333333333333,1.5666666666666667,0.85,0,9.116666666666667
15,4.133333333333334,8.583333333333334,4.1,0,2.05
16,3.3666666666666667,2.9833333333333334,8.566666666666666,0,0.9166666666666666
17,12.966666666666667,5.95,12.116666666666667,0,1.9
18,0.0,0.0,0.0,0,0.0
19,0.45,32.11666666666667,0.8833333333333333,0,1.8
20,0.0,0.0,0.0,0,60.0
21,45.55,2.816666666666667,5.25,0,1.8666666666666667
22,4.183333333333334,1.0833333333333333,5.783333333333333,0,0.8
23,13.816666666666666,0.0,0.0,0,17.666666666666668
