Hour,red_cage,orange_cage,yellow_cage,green_cage,blue_cage
0,0.0,0.0,0,0.0,0.0
1,0.0,0.0,0,60.0,0.0
2,0.0,0.0,0,0.0,0.0
3,0.0,0.65,0,1.1833333333333333,41.71666666666667
4,0.18333333333333332,1.0,0,58.68333333333333,0.13333333333333333
5,0.0,0.0,0,0.0,0.0
6,0.0,59.45,0,0.23333333333333334,0.31666666666666665
7,0.0,56.8,0,0.2833333333333333,0.6333333333333333
8,2.0166666666666666,48.96666666666667,0,7.366666666666666,1.65
9,0.0,0.0,0,0.0,60.0
10,0.0,0.0,0,0.5166666666666667,48.65
11,1.2333333333333334,5.816666666666666,0,0.7,10.833333333333334
12,0.0,59.833333333333336,0,0.0,0.16666666666666666
13,0.7666666666666667,0.7,0,0.7333333333333333,7.25
14,4.0,0.5166666666666667,0,5.183333333333334,9.116666666666667
15,13.583333333333334,5.533333333333333,0,8.666666666666666,1.1166666666666667
16,5.916666666666667,0.16666666666666666,0,0.38333333333333336,9.183333333333334
17,3.6166666666666667,9.616666666666667,0,0.36666666666666664,0.26666666666666666
18,2.45,1.0166666666666666,0,0.4,0.7
19,1.5,0.45,0,4.133333333333334,0.5666666666666667
20,0.7166666666666667,9.666666666666666,0,0.3,0.6833333333333333
21,0.75,0.7166666666666667,0,11.15,9.733333333333333
22,0.4,2.9833333333333334,0,2.7,1.2
23,0.8666666666666667,5.883333333333334,0,1.2833333333333334,1.3333333333333333
