Hour,blue_cage,green_cage,orange_cage,red_cage,yellow_cage
0,3.3333333333333335,0.7666666666666667,55.9,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0
2,2.2666666666666666,57.083333333333336,0.65,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0
5,2.3833333333333333,57.61666666666667,0.0,0.0,0.0
6,0.0,0.0,60.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0
9,2.783333333333333,0.0,57.21666666666667,0.0,0.0
10,16.533333333333335,41.05,0.0,0.0,2.4166666666666665
11,20.383333333333333,0.6166666666666667,0.0,10.433333333333334,23.333333333333332
12,9.85,1.4166666666666667,4.633333333333334,9.783333333333333,0.0
13,14.566666666666666,3.3,0.0,0.0,3.8833333333333333
14,1.0,25.15,1.9666666666666666,0.0,0.0
15,16.433333333333334,6.066666666666666,17.616666666666667,0.0,0.0
16,5.2,4.666666666666667,1.3333333333333333,2.35,7.383333333333334
17,1.7333333333333334,11.466666666666667,3.933333333333333,0.0,10.15
18,34.55,7.033333333333333,1.7166666666666666,13.716666666666667,1.0333333333333334
19,0.0,0.0,0.0,0.0,0.0
20,45.8,2.4166666666666665,11.783333333333333,0.0,0.0
21,32.083333333333336,2.2333333333333334,0.7,1.6666666666666667,6.133333333333334
22,1.3333333333333333,0.9666666666666667,1.95,1.9166666666666667,14.166666666666666
23,0.65,58.55,0.4166666666666667,0.0,0.0
