Hour,green_cage,blue_cage,yellow_cage,orange_cage,red_cage
0,0.6166666666666667,0.3,0.36666666666666664,30.6,0.0
1,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0
5,26.833333333333332,3.95,1.5666666666666667,0.2,7.683333333333334
6,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0
9,49.21666666666667,1.0,0.6166666666666667,2.7333333333333334,2.4
10,0.0,60.0,0.0,0.0,0.0
11,36.8,5.25,2.0,0.7833333333333333,1.9333333333333333
12,0.6,1.1333333333333333,0.0,4.366666666666666,1.7166666666666666
13,7.0,2.35,1.3166666666666667,8.433333333333334,3.15
14,1.4333333333333333,17.933333333333334,9.616666666666667,0.7333333333333333,0.4
15,2.5833333333333335,40.55,0.7666666666666667,0.0,2.2333333333333334
16,8.616666666666667,8.183333333333334,3.6333333333333333,1.3333333333333333,3.066666666666667
17,7.0,6.733333333333333,3.683333333333333,1.3166666666666667,1.7833333333333334
18,0.6333333333333333,3.05,2.8833333333333333,17.55,1.35
19,55.55,0.45,1.5166666666666666,0.0,1.2333333333333334
20,0.0,0.0,0.0,0.0,0.0
21,5.283333333333333,52.733333333333334,0.0,0.5,0.0
22,6.666666666666667,4.566666666666666,0.0,8.216666666666667,0.0
23,0.35,8.933333333333334,6.15,1.9333333333333333,1.3
