Hour,green_cage,blue_cage,red_cage,orange_cage,yellow_cage
0,24.25,4.55,1.5,2.316666666666667,0.0
1,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0
5,0.4,3.55,3.25,24.166666666666668,5.816666666666666
6,59.3,0.0,0.0,0.0,0.7
7,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0
9,2.1,5.433333333333334,0.0,52.016666666666666,0.45
10,0.4,0.0,0.0,58.7,0.0
11,0.25,0.0,54.25,1.6666666666666667,0.0
12,25.033333333333335,1.15,0.5333333333333333,0.16666666666666666,2.1333333333333333
13,1.0166666666666666,4.783333333333333,0.9833333333333333,39.916666666666664,1.15
14,0.15,3.933333333333333,11.716666666666667,0.7,0.5666666666666667
15,0.23333333333333334,5.433333333333334,6.05,6.183333333333334,0.4166666666666667
16,0.9333333333333333,1.8833333333333333,3.8833333333333333,12.183333333333334,0.4166666666666667
17,0.1,0.7666666666666667,9.883333333333333,5.216666666666667,3.7666666666666666
18,0.8,10.533333333333333,2.316666666666667,5.05,1.0666666666666667
19,18.466666666666665,3.1,5.7,3.85,0.4
20,0.0,0.0,0.0,0.0,0.0
21,0.5333333333333333,0.6666666666666666,28.366666666666667,11.333333333333334,0.6333333333333333
22,12.283333333333333,4.166666666666667,2.816666666666667,1.4333333333333333,0.0
23,0.9333333333333333,4.666666666666667,4.383333333333334,0.21666666666666667,0.36666666666666664
