Hour,green_cage,red_cage,blue_cage,orange_cage,yellow_cage
0,5.966666666666667,1.4833333333333334,7.383333333333334,3.4,0.26666666666666666
1,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0
4,58.483333333333334,0.0,1.0333333333333334,0.48333333333333334,0.0
5,59.11666666666667,0.0,0.8833333333333333,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0
8,7.366666666666666,2.4,4.633333333333334,19.0,0.0
9,0.0,0.0,0.0,0.0,0.0
10,0.23333333333333334,19.866666666666667,35.166666666666664,1.4333333333333333,0.0
11,0.25,0.5333333333333333,0.8166666666666667,3.9833333333333334,0.9833333333333333
12,1.5166666666666666,2.1666666666666665,1.6666666666666667,6.833333333333333,3.6166666666666667
13,0.8166666666666667,4.183333333333334,5.5,3.283333333333333,1.2666666666666666
14,3.8666666666666667,3.05,8.766666666666667,2.65,4.9
15,6.133333333333334,1.7,3.3833333333333333,1.8666666666666667,6.3
16,6.766666666666667,1.5666666666666667,0.15,2.033333333333333,0.0
17,1.0,7.666666666666667,6.866666666666666,5.333333333333333,8.483333333333333
18,4.9,5.466666666666667,0.3333333333333333,22.2,1.65
19,0.0,0.0,0.0,0.0,0.0
20,2.7333333333333334,0.0,0.0,57.266666666666666,0.0
21,5.866666666666666,17.683333333333334,0.6,4.05,0.8333333333333334
22,5.2,0.48333333333333334,7.216666666666667,2.8666666666666667,1.1666666666666667
23,1.1,1.6,8.966666666666667,4.933333333333334,0.18333333333333332
