Hour,green_cage,yellow_cage,blue_cage,red_cage,orange_cage
0,1.55,0.55,3.5166666666666666,8.133333333333333,0.7333333333333333
1,0.0,0.0,0.0,0.0,0.0
2,57.483333333333334,2.3833333333333333,0.13333333333333333,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0
4,0.0,0.45,4.05,55.5,0.0
5,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0
8,8.45,0.0,0.21666666666666667,27.3,0.7833333333333333
9,0.0,0.0,0.0,0.0,0.0
10,0.85,37.13333333333333,0.25,4.2,0.45
11,0.0,0.0,0.0,0.0,0.0
12,38.2,1.1,0.06666666666666667,1.2333333333333334,0.13333333333333333
13,1.9,0.21666666666666667,0.31666666666666665,1.1666666666666667,27.016666666666666
14,0.3333333333333333,0.6,10.666666666666666,1.2333333333333334,5.716666666666667
15,0.18333333333333332,0.23333333333333334,0.65,1.1833333333333333,7.45
16,6.8,7.3,4.616666666666666,0.6166666666666667,5.816666666666666
17,8.616666666666667,0.18333333333333332,2.066666666666667,2.9166666666666665,0.7833333333333333
18,2.5166666666666666,39.36666666666667,0.25,1.5666666666666667,7.166666666666667
19,0.0,0.0,0.0,0.0,0.0
20,14.933333333333334,0.9333333333333333,3.65,27.75,0.26666666666666666
21,0.8166666666666667,0.31666666666666665,6.266666666666667,12.666666666666666,0.8
22,11.05,7.966666666666667,0.6833333333333333,0.7166666666666667,0.5166666666666667
23,4.766666666666667,2.0166666666666666,0.26666666666666666,4.283333333333333,0.5166666666666667
