MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
4/25/2024 11:49:39,1.16.3,FR1,0,4.17,nan,1,Right,Left,0,1,0,0,nan,nan,0.05
4/25/2024 11:50:28,1.16.3,FR1,0,4.17,nan,1,Left,Left,1,1,0,0,nan,nan,0.07
4/25/2024 11:50:33,1.16.3,FR1,0,4.18,3,1,Pellet,Left,1,1,1,0,0.88,nan,nan
4/25/2024 11:50:45,1.16.3,FR1,0,4.17,nan,1,Right,Left,1,2,1,0,nan,nan,0.04
4/25/2024 11:51:19,1.16.3,FR1,0,4.17,nan,1,Left,Left,2,2,1,0,nan,nan,0.04
4/25/2024 11:51:20,1.16.3,FR1,0,4.17,1,1,Pellet,Left,2,2,2,0,0.37,47,nan
4/25/2024 11:51:21,1.16.3,FR1,0,4.17,nan,1,Right,Left,2,3,2,0,nan,nan,0.21
4/25/2024 11:51:40,1.16.3,FR1,0,4.18,nan,1,Left,Left,3,3,2,0,nan,nan,0.15
4/25/2024 11:51:41,1.16.3,FR1,0,4.18,1,1,Pellet,Left,3,3,3,0,0.63,21,nan
4/25/2024 11:51:47,1.16.3,FR1,0,4.18,nan,1,Left,Left,4,3,3,0,nan,nan,0.29
4/25/2024 11:51:49,1.16.3,FR1,0,4.18,1,1,Pellet,Left,4,3,4,0,0.94,8,nan
4/25/2024 11:51:53,1.16.3,FR1,0,4.17,nan,1,Left,Left,5,3,4,0,nan,nan,0.10
4/25/2024 11:51:56,1.16.3,FR1,0,4.18,1,1,Pellet,Left,5,3,5,0,2.15,7,nan
4/25/2024 11:52:00,1.16.3,FR1,0,4.17,nan,1,Left,Left,6,3,5,0,nan,nan,0.04
4/25/2024 11:52:01,1.16.3,FR1,0,4.17,1,1,Pellet,Left,6,3,6,0,0.31,5,nan
4/25/2024 11:52:06,1.16.3,FR1,0,4.17,nan,1,Left,Left,7,3,6,0,nan,nan,0.19
4/25/2024 11:52:08,1.16.3,FR1,0,4.18,nan,1,LeftWithPellet,Left,8,3,6,0,nan,nan,0.02
4/25/2024 11:52:10,1.16.3,FR1,0,4.18,1,1,Pellet,Left,8,3,7,0,3.33,9,nan
4/25/2024 11:52:14,1.16.3,FR1,0,4.18,nan,1,Left,Left,9,3,7,0,nan,nan,0.08
4/25/2024 11:52:16,1.16.3,FR1,0,4.17,1,1,Pellet,Left,9,3,8,0,1.51,6,nan
4/25/2024 11:52:16,1.16.3,FR1,0,4.17,nan,1,Right,Left,9,4,8,0,nan,nan,0.00
4/25/2024 11:52:19,1.16.3,FR1,0,4.17,nan,1,Left,Left,10,4,8,0,nan,nan,0.06
4/25/2024 11:52:23,1.16.3,FR1,0,4.17,1,1,Pellet,Left,10,4,9,0,3.29,7,nan
4/25/2024 11:52:25,1.16.3,FR1,0,4.18,nan,1,Left,Left,11,4,9,0,nan,nan,0.05
4/25/2024 11:52:27,1.16.3,FR1,0,4.17,1,1,Pellet,Left,11,4,10,0,1.96,4,nan
4/25/2024 11:52:41,1.16.3,FR1,0,4.17,nan,1,Right,Left,11,5,10,0,nan,nan,0.08
4/25/2024 11:52:42,1.16.3,FR1,0,4.17,nan,1,Left,Left,12,5,10,0,nan,nan,0.02
4/25/2024 11:52:44,1.16.3,FR1,0,4.18,1,1,Pellet,Left,12,5,11,0,0.82,17,nan
4/25/2024 11:52:49,1.16.3,FR1,0,4.17,nan,1,Left,Left,13,5,11,0,nan,nan,0.00
4/25/2024 11:52:51,1.16.3,FR1,0,4.17,1,1,Pellet,Left,13,5,12,0,1.20,7,nan
4/25/2024 11:52:56,1.16.3,FR1,0,4.17,nan,1,Left,Left,14,5,12,0,nan,nan,0.06
4/25/2024 11:52:58,1.16.3,FR1,0,4.18,2,1,Pellet,Left,14,5,13,0,0.69,7,nan
4/25/2024 11:53:01,1.16.3,FR1,0,4.17,nan,1,Right,Left,14,6,13,0,nan,nan,0.12
4/25/2024 11:53:02,1.16.3,FR1,0,4.17,nan,1,Left,Left,15,6,13,0,nan,nan,0.00
4/25/2024 11:53:03,1.16.3,FR1,0,4.18,1,1,Pellet,Left,15,6,14,0,0.25,5,nan
4/25/2024 11:53:06,1.16.3,FR1,0,4.18,nan,1,Left,Left,16,6,14,0,nan,nan,0.06
4/25/2024 11:53:08,1.16.3,FR1,0,4.18,2,1,Pellet,Left,16,6,15,0,0.82,5,nan
4/25/2024 11:53:10,1.16.3,FR1,0,4.17,nan,1,Left,Left,17,6,15,0,nan,nan,0.05
4/25/2024 11:53:11,1.16.3,FR1,0,4.17,1,1,Pellet,Left,17,6,16,0,0.56,3,nan
4/25/2024 11:53:18,1.16.3,FR1,0,4.17,nan,1,Left,Left,18,6,16,0,nan,nan,0.04
4/25/2024 11:53:20,1.16.3,FR1,0,4.18,1,1,Pellet,Left,18,6,17,0,1.77,9,nan
4/25/2024 11:53:25,1.16.3,FR1,0,4.17,nan,1,Left,Left,19,6,17,0,nan,nan,0.08
