MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
3/29/2024 11:31:05,1.16.3,FR1_R,0,4.19,nan,1,Right,Right,0,1,0,0,nan,nan,0.59
3/29/2024 11:31:06,1.16.3,FR1_R,0,4.19,1,1,Pellet,Right,0,1,1,0,0.69,nan,nan
3/29/2024 11:31:17,1.16.3,FR1_R,0,4.19,nan,1,Right,Right,0,2,1,0,nan,nan,0.06
3/29/2024 11:31:21,1.16.3,FR1_R,0,4.19,2,1,Pellet,Right,0,2,2,0,1.70,15,nan
3/29/2024 11:31:25,1.16.3,FR1_R,0,4.18,nan,1,Right,Right,0,3,2,0,nan,nan,0.19
3/29/2024 11:31:28,1.16.3,FR1_R,0,4.18,1,1,Pellet,Right,0,3,3,0,1.51,7,nan
3/29/2024 11:31:32,1.16.3,FR1_R,0,4.19,nan,1,Right,Right,0,4,3,0,nan,nan,0.17
3/29/2024 11:31:36,1.16.3,FR1_R,0,4.19,2,1,Pellet,Right,0,4,4,0,3.16,8,nan
3/29/2024 11:31:39,1.16.3,FR1_R,0,4.19,nan,1,Right,Right,0,5,4,0,nan,nan,0.42
3/29/2024 11:31:40,1.16.3,FR1_R,0,4.18,1,1,Pellet,Right,0,5,5,0,0.56,4,nan
3/29/2024 11:31:42,1.16.3,FR1_R,0,4.19,nan,1,Right,Right,0,6,5,0,nan,nan,0.13
3/29/2024 11:31:45,1.16.3,FR1_R,0,4.18,1,1,Pellet,Right,0,6,6,0,2.40,5,nan
3/29/2024 11:31:59,1.16.3,FR1_R,0,4.18,nan,1,Right,Right,0,7,6,0,nan,nan,0.10
3/29/2024 11:32:00,1.16.3,FR1_R,0,4.19,1,1,Pellet,Right,0,7,7,0,0.25,14,nan
3/29/2024 11:32:06,1.16.3,FR1_R,0,4.18,nan,1,Right,Right,0,8,7,0,nan,nan,0.16
3/29/2024 11:32:08,1.16.3,FR1_R,0,4.19,1,1,Pellet,Right,0,8,8,0,1.07,9,nan
3/29/2024 11:32:10,1.16.3,FR1_R,0,4.19,nan,1,Right,Right,0,9,8,0,nan,nan,0.03
3/29/2024 11:32:13,1.16.3,FR1_R,0,4.19,1,1,Pellet,Right,0,9,9,0,3.03,5,nan
3/29/2024 11:32:15,1.16.3,FR1_R,0,4.19,nan,1,Right,Right,0,10,9,0,nan,nan,0.02
3/29/2024 11:32:19,1.16.3,FR1_R,0,4.19,1,1,Pellet,Right,0,10,10,0,3.22,6,nan
3/29/2024 11:32:30,1.16.3,FR1_R,0,4.18,nan,1,Right,Right,0,11,10,0,nan,nan,0.23
3/29/2024 11:32:31,1.16.3,FR1_R,0,4.19,1,1,Pellet,Right,0,11,11,0,0.82,12,nan
3/29/2024 11:32:35,1.16.3,FR1_R,0,4.18,nan,1,Right,Right,0,12,11,0,nan,nan,0.12
3/29/2024 11:32:37,1.16.3,FR1_R,0,4.18,1,1,Pellet,Right,0,12,12,0,0.75,6,nan
3/29/2024 11:32:39,1.16.3,FR1_R,0,4.19,nan,1,Right,Right,0,13,12,0,nan,nan,0.22
3/29/2024 11:32:44,1.16.3,FR1_R,0,4.18,2,1,Pellet,Right,0,13,13,0,4.11,7,nan
3/29/2024 11:32:48,1.16.3,FR1_R,0,4.19,nan,1,Right,Right,0,14,13,0,nan,nan,0.16
3/29/2024 11:32:49,1.16.3,FR1_R,0,4.19,1,1,Pellet,Right,0,14,14,0,0.25,5,nan
3/29/2024 11:32:54,1.16.3,FR1_R,0,4.19,nan,1,Right,Right,0,15,14,0,nan,nan,0.03
3/29/2024 11:32:55,1.16.3,FR1_R,0,4.19,nan,1,LeftWithPellet,Right,1,15,14,0,nan,nan,0.03
3/29/2024 11:33:00,1.16.3,FR1_R,0,4.18,1,1,Pellet,Right,1,15,15,0,4.99,11,nan
3/29/2024 11:33:02,1.16.3,FR1_R,0,4.18,nan,1,Right,Right,1,16,15,0,nan,nan,0.05
3/29/2024 11:33:04,1.16.3,FR1_R,0,4.19,1,1,Pellet,Right,1,16,16,0,1.26,4,nan
3/29/2024 11:33:06,1.16.3,FR1_R,0,4.19,nan,1,Left,Right,2,16,16,0,nan,nan,0.38
3/29/2024 11:33:07,1.16.3,FR1_R,0,4.19,nan,1,Right,Right,2,17,16,0,nan,nan,0.03
3/29/2024 11:33:09,1.16.3,FR1_R,0,4.18,2,1,Pellet,Right,2,17,17,0,1.20,5,nan
