MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
5/16/2024 11:42:49,1.16.3,FR5,0,4.18,nan,5,Right,Left,0,1,0,0,nan,nan,0.07
5/16/2024 11:43:41,1.16.3,FR5,0,4.18,nan,5,Left,Left,1,1,0,0,nan,nan,0.85
5/16/2024 11:43:47,1.16.3,FR5,0,4.19,nan,5,Left,Left,2,1,0,0,nan,nan,0.01
5/16/2024 11:43:49,1.16.3,FR5,0,4.19,nan,5,Left,Left,3,1,0,0,nan,nan,0.03
5/16/2024 11:43:55,1.16.3,FR5,0,4.19,nan,5,Left,Left,4,1,0,0,nan,nan,0.55
5/16/2024 11:45:24,1.16.3,FR5,0,4.18,nan,5,Left,Left,5,1,0,0,nan,nan,0.01
5/16/2024 11:45:24,1.16.3,FR5,0,4.18,nan,5,LeftDuringDispense,Left,6,1,0,0,nan,nan,0.02
5/16/2024 11:45:33,1.16.3,FR5,0,4.19,3,5,Pellet,Left,6,1,1,0,3.98,nan,nan
5/16/2024 11:45:43,1.16.3,FR5,0,4.19,nan,5,Left,Left,7,1,1,0,nan,nan,0.15
5/16/2024 11:45:45,1.16.3,FR5,0,4.18,nan,5,Left,Left,8,1,1,0,nan,nan,0.05
5/16/2024 11:45:46,1.16.3,FR5,0,4.19,nan,5,Left,Left,9,1,1,0,nan,nan,0.13
5/16/2024 11:45:48,1.16.3,FR5,0,4.19,nan,5,Left,Left,10,1,1,0,nan,nan,0.12
5/16/2024 11:45:48,1.16.3,FR5,0,4.19,nan,5,RightDuringDispense,Left,10,2,1,0,nan,nan,0.07
5/16/2024 11:45:52,1.16.3,FR5,0,4.20,2,5,Pellet,Left,10,2,2,0,1.38,19,nan
5/16/2024 11:45:54,1.16.3,FR5,0,4.18,nan,5,Left,Left,11,2,2,0,nan,nan,0.17
5/16/2024 11:45:58,1.16.3,FR5,0,4.19,nan,5,Left,Left,12,2,2,0,nan,nan,0.07
5/16/2024 11:45:59,1.16.3,FR5,0,4.18,nan,5,Right,Left,12,3,2,0,nan,nan,0.30
5/16/2024 11:45:59,1.16.3,FR5,0,4.18,nan,5,Left,Left,13,3,2,0,nan,nan,0.00
5/16/2024 11:46:00,1.16.3,FR5,0,4.19,nan,5,Right,Left,13,4,2,0,nan,nan,0.00
5/16/2024 11:46:02,1.16.3,FR5,0,4.18,nan,5,Left,Left,14,4,2,0,nan,nan,0.15
5/16/2024 11:46:02,1.16.3,FR5,0,4.18,nan,5,Right,Left,14,5,2,0,nan,nan,0.00
5/16/2024 11:46:04,1.16.3,FR5,0,4.20,nan,5,Left,Left,15,5,2,0,nan,nan,0.24
5/16/2024 11:46:05,1.16.3,FR5,0,4.18,1,5,Pellet,Left,15,5,3,0,0.50,13,nan
5/16/2024 11:46:07,1.16.3,FR5,0,4.19,nan,5,Right,Left,15,6,3,0,nan,nan,0.07
5/16/2024 11:46:09,1.16.3,FR5,0,4.19,nan,5,Left,Left,16,6,3,0,nan,nan,0.12
5/16/2024 11:46:11,1.16.3,FR5,0,4.19,nan,5,Left,Left,17,6,3,0,nan,nan,0.10
5/16/2024 11:46:12,1.16.3,FR5,0,4.19,nan,5,Right,Left,17,7,3,0,nan,nan,0.01
5/16/2024 11:46:12,1.16.3,FR5,0,4.19,nan,5,Left,Left,18,7,3,0,nan,nan,0.00
5/16/2024 11:46:14,1.16.3,FR5,0,4.18,nan,5,Left,Left,19,7,3,0,nan,nan,0.00
5/16/2024 11:46:14,1.16.3,FR5,0,4.18,nan,5,Right,Left,19,8,3,0,nan,nan,0.00
5/16/2024 11:46:15,1.16.3,FR5,0,4.18,nan,5,Left,Left,20,8,3,0,nan,nan,0.15
5/16/2024 11:46:17,1.16.3,FR5,0,4.20,1,5,Pellet,Left,20,8,4,0,0.75,12,nan
5/16/2024 11:46:20,1.16.3,FR5,0,4.19,nan,5,Left,Left,21,8,4,0,nan,nan,0.02
5/16/2024 11:46:22,1.16.3,FR5,0,4.19,nan,5,Left,Left,22,8,4,0,nan,nan,0.07
5/16/2024 11:46:27,1.16.3,FR5,0,4.19,nan,5,Left,Left,23,8,4,0,nan,nan,0.16
5/16/2024 11:46:31,1.16.3,FR5,0,4.20,nan,5,Right,Left,23,9,4,0,nan,nan,0.01
5/16/2024 11:46:33,1.16.3,FR5,0,4.19,nan,5,Left,Left,24,9,4,0,nan,nan,0.06
5/16/2024 11:46:34,1.16.3,FR5,0,4.18,nan,5,Left,Left,25,9,4,0,nan,nan,0.06
5/16/2024 11:46:35,1.16.3,FR5,0,4.19,nan,5,LeftDuringDispense,Left,26,9,4,0,nan,nan,0.11
5/16/2024 11:46:36,1.16.3,FR5,0,4.19,1,5,Pellet,Left,26,9,5,0,0.69,19,nan
5/16/2024 11:46:37,1.16.3,FR5,0,4.19,nan,5,Right,Left,26,10,5,0,nan,nan,0.01
5/16/2024 11:46:39,1.16.3,FR5,0,4.18,nan,5,Right,Left,26,11,5,0,nan,nan,0.07
5/16/2024 11:46:40,1.16.3,FR5,0,4.19,nan,5,Right,Left,26,12,5,0,nan,nan,0.14
5/16/2024 11:46:41,1.16.3,FR5,0,4.20,nan,5,Left,Left,27,12,5,0,nan,nan,0.00
5/16/2024 11:46:41,1.16.3,FR5,0,4.20,nan,5,Right,Left,27,13,5,0,nan,nan,0.00
5/16/2024 11:46:44,1.16.3,FR5,0,4.19,nan,5,Left,Left,28,13,5,0,nan,nan,0.04
5/16/2024 11:46:47,1.16.3,FR5,0,4.19,nan,5,Left,Left,29,13,5,0,nan,nan,0.16
5/16/2024 11:46:47,1.16.3,FR5,0,4.19,nan,5,Right,Left,29,14,5,0,nan,nan,0.00
5/16/2024 11:46:47,1.16.3,FR5,0,4.19,nan,5,Left,Left,30,14,5,0,nan,nan,0.00
5/16/2024 11:46:49,1.16.3,FR5,0,4.18,1,5,Pellet,Left,30,14,6,0,0.31,12,nan
5/16/2024 11:46:54,1.16.3,FR5,0,4.20,nan,5,Right,Left,30,15,6,0,nan,nan,0.03
5/16/2024 11:46:58,1.16.3,FR5,0,4.19,nan,5,Right,Left,30,16,6,0,nan,nan,0.05
5/16/2024 11:47:00,1.16.3,FR5,0,4.18,nan,5,Left,Left,31,16,6,0,nan,nan,0.13
5/16/2024 11:47:01,1.16.3,FR5,0,4.18,nan,5,Left,Left,32,16,6,0,nan,nan,0.02
5/16/2024 11:47:04,1.16.3,FR5,0,4.19,nan,5,Left,Left,33,16,6,0,nan,nan,0.17
5/16/2024 11:47:07,1.16.3,FR5,0,4.18,nan,5,Left,Left,34,16,6,0,nan,nan,0.06
5/16/2024 11:47:09,1.16.3,FR5,0,4.19,nan,5,Left,Left,35,16,6,0,nan,nan,0.15
5/16/2024 11:47:10,1.16.3,FR5,0,4.19,1,5,Pellet,Left,35,16,7,0,0.25,22,nan
5/16/2024 11:47:22,1.16.3,FR5,0,4.20,nan,5,Right,Left,35,17,7,0,nan,nan,0.02
5/16/2024 11:47:23,1.16.3,FR5,0,4.20,nan,5,Left,Left,36,17,7,0,nan,nan,0.14
5/16/2024 11:47:25,1.16.3,FR5,0,4.18,nan,5,Left,Left,37,17,7,0,nan,nan,0.11
5/16/2024 11:47:26,1.16.3,FR5,0,4.19,nan,5,Left,Left,38,17,7,0,nan,nan,0.05
5/16/2024 11:47:30,1.16.3,FR5,0,4.18,nan,5,Left,Left,39,17,7,0,nan,nan,0.13
5/16/2024 11:47:31,1.16.3,FR5,0,4.18,nan,5,Left,Left,40,17,7,0,nan,nan,0.03
5/16/2024 11:47:32,1.16.3,FR5,0,4.18,1,5,Pellet,Left,40,17,8,0,0.44,22,nan
5/16/2024 11:47:37,1.16.3,FR5,0,4.18,nan,5,Left,Left,41,17,8,0,nan,nan,0.16
5/16/2024 11:47:42,1.16.3,FR5,0,4.19,nan,5,Right,Left,41,18,8,0,nan,nan,0.03
5/16/2024 11:47:44,1.16.3,FR5,0,4.19,nan,5,Right,Left,41,19,8,0,nan,nan,0.18
5/16/2024 11:47:45,1.16.3,FR5,0,4.19,nan,5,Left,Left,42,19,8,0,nan,nan,0.05
5/16/2024 11:47:47,1.16.3,FR5,0,4.18,nan,5,Left,Left,43,19,8,0,nan,nan,0.10
5/16/2024 11:47:48,1.16.3,FR5,0,4.18,nan,5,Left,Left,44,19,8,0,nan,nan,0.15
5/16/2024 11:47:50,1.16.3,FR5,0,4.19,nan,5,Left,Left,45,19,8,0,nan,nan,0.08
5/16/2024 11:47:52,1.16.3,FR5,0,4.18,1,5,Pellet,Left,45,19,9,0,0.56,20,nan
5/16/2024 11:47:54,1.16.3,FR5,0,4.19,nan,5,Left,Left,46,19,9,0,nan,nan,0.04
5/16/2024 11:47:55,1.16.3,FR5,0,4.19,nan,5,Left,Left,47,19,9,0,nan,nan,0.08
5/16/2024 11:47:56,1.16.3,FR5,0,4.19,nan,5,Left,Left,48,19,9,0,nan,nan,0.10
5/16/2024 11:47:57,1.16.3,FR5,0,4.18,nan,5,Left,Left,49,19,9,0,nan,nan,0.09
5/16/2024 11:47:58,1.16.3,FR5,0,4.18,nan,5,Left,Left,50,19,9,0,nan,nan,0.08
5/16/2024 11:48:00,1.16.3,FR5,0,4.19,1,5,Pellet,Left,50,19,10,0,1.00,8,nan
5/16/2024 11:48:02,1.16.3,FR5,0,4.18,nan,5,Left,Left,51,19,10,0,nan,nan,0.18
5/16/2024 11:48:03,1.16.3,FR5,0,4.19,nan,5,Left,Left,52,19,10,0,nan,nan,0.08
5/16/2024 11:48:06,1.16.3,FR5,0,4.20,nan,5,Left,Left,53,19,10,0,nan,nan,0.14
5/16/2024 11:48:07,1.16.3,FR5,0,4.19,nan,5,Left,Left,54,19,10,0,nan,nan,0.03
5/16/2024 11:48:10,1.16.3,FR5,0,4.18,nan,5,Left,Left,55,19,10,0,nan,nan,0.05
5/16/2024 11:48:11,1.16.3,FR5,0,4.19,1,5,Pellet,Left,55,19,11,0,0.31,11,nan
5/16/2024 11:48:22,1.16.3,FR5,0,4.20,nan,5,Left,Left,56,19,11,0,nan,nan,0.07
5/16/2024 11:48:24,1.16.3,FR5,0,4.19,nan,5,Left,Left,57,19,11,0,nan,nan,0.15
5/16/2024 11:48:27,1.16.3,FR5,0,4.19,nan,5,Left,Left,58,19,11,0,nan,nan,0.37
5/16/2024 11:48:31,1.16.3,FR5,0,4.19,nan,5,Left,Left,59,19,11,0,nan,nan,0.09
5/16/2024 11:48:34,1.16.3,FR5,0,4.19,nan,5,Left,Left,60,19,11,0,nan,nan,0.14
5/16/2024 11:48:35,1.16.3,FR5,0,4.19,1,5,Pellet,Left,60,19,12,0,0.75,24,nan
5/16/2024 11:48:46,1.16.3,FR5,0,4.20,nan,5,Left,Left,61,19,12,0,nan,nan,0.22
5/16/2024 11:48:48,1.16.3,FR5,0,4.18,nan,5,Left,Left,62,19,12,0,nan,nan,0.10
5/16/2024 11:48:50,1.16.3,FR5,0,4.19,nan,5,Left,Left,63,19,12,0,nan,nan,0.16
5/16/2024 11:48:52,1.16.3,FR5,0,4.20,nan,5,Left,Left,64,19,12,0,nan,nan,0.13
5/16/2024 11:48:54,1.16.3,FR5,0,4.19,nan,5,Left,Left,65,19,12,0,nan,nan,0.24
5/16/2024 11:48:55,1.16.3,FR5,0,4.18,1,5,Pellet,Left,65,19,13,0,0.94,20,nan
5/16/2024 11:48:58,1.16.3,FR5,0,4.19,nan,5,Left,Left,66,19,13,0,nan,nan,0.12
5/16/2024 11:49:00,1.16.3,FR5,0,4.19,nan,5,Right,Left,66,20,13,0,nan,nan,0.34
5/16/2024 11:49:01,1.16.3,FR5,0,4.19,nan,5,Left,Left,67,20,13,0,nan,nan,0.00
5/16/2024 11:49:01,1.16.3,FR5,0,4.19,nan,5,Right,Left,67,21,13,0,nan,nan,0.00
5/16/2024 11:49:02,1.16.3,FR5,0,4.19,nan,5,Right,Left,67,22,13,0,nan,nan,0.06
5/16/2024 11:49:03,1.16.3,FR5,0,4.18,nan,5,Left,Left,68,22,13,0,nan,nan,0.38
5/16/2024 11:49:05,1.16.3,FR5,0,4.20,nan,5,Left,Left,69,22,13,0,nan,nan,0.54
5/16/2024 11:49:07,1.16.3,FR5,0,4.19,nan,5,Left,Left,70,22,13,0,nan,nan,0.05
5/16/2024 11:49:07,1.16.3,FR5,0,4.18,nan,5,LeftDuringDispense,Left,71,22,13,0,nan,nan,0.14
5/16/2024 11:49:11,1.16.3,FR5,0,4.18,2,5,Pellet,Left,71,22,14,0,0.94,16,nan
5/16/2024 11:49:17,1.16.3,FR5,0,4.20,nan,5,Left,Left,72,22,14,0,nan,nan,0.01
5/16/2024 11:49:27,1.16.3,FR5,0,4.19,nan,5,Right,Left,72,23,14,0,nan,nan,0.18
5/16/2024 11:49:28,1.16.3,FR5,0,4.20,nan,5,Left,Left,73,23,14,0,nan,nan,0.00
5/16/2024 11:49:29,1.16.3,FR5,0,4.19,nan,5,Left,Left,74,23,14,0,nan,nan,0.06
