MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
3/11/2024 10:49:34,1.16.3,FR1_R,0,4.18,nan,1,Left,Right,1,0,0,0,nan,nan,0.05
3/11/2024 10:49:47,1.16.3,FR1_R,0,4.18,nan,1,Right,Right,1,1,0,0,nan,nan,0.15
3/11/2024 10:49:51,1.16.3,FR1_R,0,4.18,1,1,Pellet,Right,1,1,1,0,3.22,nan,nan
3/11/2024 10:50:36,1.16.3,FR1_R,0,4.18,nan,1,Right,Right,1,2,1,0,nan,nan,0.17
3/11/2024 10:50:38,1.16.3,FR1_R,0,4.17,1,1,Pellet,Right,1,2,2,0,1.45,47,nan
3/11/2024 10:52:10,1.16.3,FR1_R,0,4.18,nan,1,Left,Right,2,2,2,0,nan,nan,0.12
3/11/2024 10:52:29,1.16.3,FR1_R,0,4.17,nan,1,Left,Right,3,2,2,0,nan,nan,0.04
3/11/2024 10:52:46,1.16.3,FR1_R,0,4.18,nan,1,Left,Right,4,2,2,0,nan,nan,0.00
3/11/2024 10:52:52,1.16.3,FR1_R,0,4.18,nan,1,Right,Right,4,3,2,0,nan,nan,0.19
3/11/2024 10:52:55,1.16.3,FR1_R,0,4.18,1,1,Pellet,Right,4,3,3,0,3.04,137,nan
3/11/2024 10:53:39,1.16.3,FR1_R,0,4.18,nan,1,Left,Right,5,3,3,0,nan,nan,0.00
3/11/2024 10:54:43,1.16.3,FR1_R,0,4.18,nan,1,Right,Right,5,4,3,0,nan,nan,0.07
3/11/2024 10:54:46,1.16.3,FR1_R,0,4.18,1,1,Pellet,Right,5,4,4,0,2.40,111,nan
3/11/2024 10:55:36,1.16.3,FR1_R,0,4.18,nan,1,Right,Right,5,5,4,0,nan,nan,0.40
3/11/2024 10:55:36,1.16.3,FR1_R,0,4.17,nan,1,RightDuringDispense,Right,5,6,4,0,nan,nan,0.04
3/11/2024 10:55:40,1.16.3,FR1_R,0,4.18,nan,1,RightWithPellet,Right,5,7,4,0,nan,nan,0.07
3/11/2024 10:55:42,1.16.3,FR1_R,0,4.18,2,1,Pellet,Right,5,7,5,0,3.25,56,nan
3/11/2024 10:57:25,1.16.3,FR1_R,0,4.17,nan,1,Left,Right,6,7,5,0,nan,nan,0.24
3/11/2024 10:58:35,1.16.3,FR1_R,0,4.18,nan,1,Left,Right,7,7,5,0,nan,nan,0.10
3/11/2024 10:58:48,1.16.3,FR1_R,0,4.18,nan,1,Left,Right,8,7,5,0,nan,nan,0.00
3/11/2024 10:58:54,1.16.3,FR1_R,0,4.18,nan,1,Left,Right,9,7,5,0,nan,nan,0.00
3/11/2024 10:59:00,1.16.3,FR1_R,0,4.18,nan,1,Right,Right,9,8,5,0,nan,nan,1.23
3/11/2024 10:59:01,1.16.3,FR1_R,0,4.18,1,1,Pellet,Right,9,8,6,0,0.82,199,nan
3/11/2024 10:59:36,1.16.3,FR1_R,0,4.18,nan,1,Right,Right,9,9,6,0,nan,nan,1.02
