MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
3/28/2024 11:32:18,1.16.3,FR1_R,0,4.19,nan,1,Left,Right,1,0,0,0,nan,nan,0.31
3/28/2024 11:32:37,1.16.3,FR1_R,0,4.19,nan,1,Right,Right,1,1,0,0,nan,nan,0.02
3/28/2024 11:32:38,1.16.3,FR1_R,0,4.18,nan,1,RightDuringDispense,Right,1,2,0,0,nan,nan,0.10
3/28/2024 11:32:39,1.16.3,FR1_R,0,4.19,1,1,Pellet,Right,1,2,1,0,1.00,nan,nan
3/28/2024 11:32:45,1.16.3,FR1_R,0,4.18,nan,1,Right,Right,1,3,1,0,nan,nan,0.07
3/28/2024 11:32:45,1.16.3,FR1_R,0,4.18,nan,1,RightDuringDispense,Right,1,4,1,0,nan,nan,0.05
3/28/2024 11:32:50,1.16.3,FR1_R,0,4.18,3,1,Pellet,Right,1,4,2,0,1.76,11,nan
3/28/2024 11:32:57,1.16.3,FR1_R,0,4.19,nan,1,Right,Right,1,5,2,0,nan,nan,0.08
3/28/2024 11:32:59,1.16.3,FR1_R,0,4.18,2,1,Pellet,Right,1,5,3,0,0.31,9,nan
3/28/2024 11:33:08,1.16.3,FR1_R,0,4.20,nan,1,Right,Right,1,6,3,0,nan,nan,0.07
3/28/2024 11:33:10,1.16.3,FR1_R,0,4.18,1,1,Pellet,Right,1,6,4,0,1.76,11,nan
3/28/2024 11:33:14,1.16.3,FR1_R,0,4.19,nan,1,Right,Right,1,7,4,0,nan,nan,0.06
3/28/2024 11:33:16,1.16.3,FR1_R,0,4.19,1,1,Pellet,Right,1,7,5,0,0.82,6,nan
3/28/2024 11:33:38,1.16.3,FR1_R,0,4.19,nan,1,Right,Right,1,8,5,0,nan,nan,0.23
3/28/2024 11:33:41,1.16.3,FR1_R,0,4.18,1,1,Pellet,Right,1,8,6,0,2.40,25,nan
3/28/2024 11:33:43,1.16.3,FR1_R,0,4.19,nan,1,Right,Right,1,9,6,0,nan,nan,0.05
3/28/2024 11:33:45,1.16.3,FR1_R,0,4.18,1,1,Pellet,Right,1,9,7,0,0.44,4,nan
3/28/2024 11:33:49,1.16.3,FR1_R,0,4.19,nan,1,Right,Right,1,10,7,0,nan,nan,0.13
3/28/2024 11:33:50,1.16.3,FR1_R,0,4.18,1,1,Pellet,Right,1,10,8,0,0.50,5,nan
3/28/2024 11:33:57,1.16.3,FR1_R,0,4.19,nan,1,Right,Right,1,11,8,0,nan,nan,0.03
3/28/2024 11:33:59,1.16.3,FR1_R,0,4.18,1,1,Pellet,Right,1,11,9,0,1.26,9,nan
3/28/2024 11:34:03,1.16.3,FR1_R,0,4.18,nan,1,Right,Right,1,12,9,0,nan,nan,0.04
