Identifier;Date;Time;Unit number;Antenna number;Transponder type;Transponder code;Weight;Input status;Output status;Event;GPS coordinates
1505938;21-03-2024;01:02:46;1;-;Trovan Unique;00079FEADE;-;00000000;00000000;-;""
1505939;21-03-2024;01:03:27;7;-;Trovan Unique;0007A3DC62;-;00000000;00000000;-;""
1505940;21-03-2024;01:03:27;7;-;Trovan Unique;0007A3DC62;-;00000000;00000000;-;""
1505941;21-03-2024;01:03:39;1;-;Trovan Unique;00079FEADE;-;00000000;00000000;-;""
1505942;21-03-2024;01:03:42;7;-;Trovan Unique;00079FEADE;-;00000000;00000000;-;""
1505943;21-03-2024;01:03:42;7;-;Trovan Unique;00079FEADE;-;00000000;00000000;-;""
1505944;21-03-2024;01:06:23;7;-;Trovan Unique;00079FEADE;-;00000000;00000000;-;""
1505945;21-03-2024;01:06:23;7;-;Trovan Unique;00079FEADE;-;00000000;00000000;-;""
1505946;21-03-2024;01:07:01;1;-;Trovan Unique;00079FEADE;-;00000000;00000000;-;""
1505947;21-03-2024;01:08:51;1;-;Trovan Unique;00079FEADE;-;00000000;00000000;-;""
1505948;21-03-2024;01:27:20;7;-;Trovan Unique;0007A3C016;-;00000000;00000000;-;""
1505949;21-03-2024;01:27:20;7;-;Trovan Unique;0007A3C016;-;00000000;00000000;-;""
1505950;21-03-2024;01:27:20;7;-;Trovan Unique;0007A3C016;-;00000000;00000000;-;""
1505951;21-03-2024;01:27:20;7;-;Trovan Unique;0007A3C016;-;00000000;00000000;-;""
1505952;21-03-2024;01:27:21;7;-;Trovan Unique;0007A3C016;-;00000000;00000000;-;""
1505953;21-03-2024;01:32:06;3;-;Trovan Unique;0007A3931B;-;00000000;00000000;-;""
1505954;21-03-2024;01:32:07;3;-;Trovan Unique;0007A3931B;-;00000000;00000000;-;""
1505955;21-03-2024;01:32:07;3;-;Trovan Unique;0007A3931B;-;00000000;00000000;-;""
1505956;21-03-2024;01:32:20;7;-;Trovan Unique;0007A3931B;-;00000000;00000000;-;""
1505957;21-03-2024;01:32:20;7;-;Trovan Unique;0007A3931B;-;00000000;00000000;-;""
1505958;21-03-2024;01:40:54;3;-;Trovan Unique;0007A3C016;-;00000000;00000000;-;""
1505959;21-03-2024;01:41:59;3;-;Trovan Unique;0007A3C016;-;00000000;00000000;-;""
1505960;21-03-2024;01:42:20;1;-;Trovan Unique;0007A3C016;-;00000000;00000000;-;""
