Hour,orange_cage,blue_cage,green_cage,red_cage,yellow_cage
0,0.3333333333333333,43.233333333333334,1.25,2.25,0
1,0.0,0.0,0.0,0.0,0
2,0.0,0.0,0.0,0.0,0
3,7.383333333333334,52.61666666666667,0.0,0.0,0
4,0.0,0.0,0.0,0.0,0
5,0.0,0.0,0.0,0.0,0
6,0.0,4.466666666666667,1.9,53.63333333333333,0
7,35.5,5.7,3.816666666666667,5.516666666666667,0
8,0.0,0.0,0.0,0.0,0
9,60.0,0.0,0.0,0.0,0
10,0.0,0.9166666666666666,17.466666666666665,0.0,0
11,5.35,0.55,0.35,29.85,0
12,4.916666666666667,13.0,16.05,3.2666666666666666,0
13,1.4666666666666666,56.93333333333333,0.0,0.0,0
14,0.3333333333333333,0.3333333333333333,0.18333333333333332,12.05,0
15,0.26666666666666666,7.766666666666667,0.85,1.5666666666666667,0
16,2.7,0.15,3.0,8.466666666666667,0
17,3.5833333333333335,0.45,1.4333333333333333,6.7,0
18,1.3,2.8,0.4166666666666667,0.43333333333333335,0
19,0.0,3.7,2.716666666666667,35.55,0
20,0.0,0.0,0.0,0.0,0
21,0.21666666666666667,23.633333333333333,3.2,1.3333333333333333,0
22,1.2166666666666666,6.983333333333333,2.6666666666666665,3.8833333333333333,0
23,18.066666666666666,3.683333333333333,2.1,15.183333333333334,0
