Hour,red_cage,blue_cage,orange_cage,green_cage,yellow_cage
0,6.833333333333333,41.166666666666664,5.766666666666667,0.8,0
1,0.0,0.0,0.0,0.0,0
2,0.0,0.0,0.0,0.0,0
3,0.0,2.2333333333333334,0.0,57.766666666666666,0
4,0.5666666666666667,0.7,56.766666666666666,0.0,0
5,0.0,0.0,0.0,0.0,0
6,0.0,10.6,0.0,49.4,0
7,0.0,0.0,0.0,0.0,0
8,0.0,60.0,0.0,0.0,0
9,14.033333333333333,2.05,0.48333333333333334,32.516666666666666,0
10,0.0,60.0,0.0,0.0,0
11,27.633333333333333,2.9,0.26666666666666666,1.6,0
12,6.933333333333334,3.183333333333333,0.3,1.5333333333333334,0
13,5.3,0.0,0.0,51.083333333333336,0
14,1.3833333333333333,35.266666666666666,0.0,3.55,0
15,1.5833333333333333,35.3,13.1,1.0333333333333334,0
16,1.9666666666666666,11.433333333333334,1.6166666666666667,20.366666666666667,0
17,0.9666666666666667,3.95,12.0,1.4166666666666667,0
18,3.1166666666666667,2.2333333333333334,1.65,8.716666666666667,0
19,0.9,4.05,0.5166666666666667,0.7833333333333333,0
20,2.0166666666666666,0.35,10.416666666666666,16.766666666666666,0
21,0.8333333333333334,1.25,6.5,1.25,0
22,5.883333333333334,22.25,2.75,2.066666666666667,0
23,0.8333333333333334,0.7666666666666667,2.9,49.333333333333336,0
