Hour,red_cage,green_cage,blue_cage,orange_cage,yellow_cage
0,1.2333333333333334,31.266666666666666,27.5,0.0,0
1,47.71666666666667,0.13333333333333333,11.416666666666666,0.0,0
2,57.38333333333333,0.0,2.6166666666666667,0.0,0
3,0.0,0.0,0.0,0.0,0
4,5.166666666666667,3.933333333333333,1.1333333333333333,18.0,0
5,0.0,0.0,0.0,0.0,0
6,0.0,0.0,0.0,0.0,0
7,0.26666666666666666,0.7666666666666667,37.016666666666666,0.2,0
8,3.316666666666667,13.383333333333333,1.7833333333333334,22.766666666666666,0
9,0.0,0.0,0.0,0.0,0
10,43.05,0.2,3.466666666666667,0.25,0
11,3.4166666666666665,13.75,0.65,0.13333333333333333,0
12,39.13333333333333,0.16666666666666666,1.05,2.0,0
13,4.466666666666667,0.6166666666666667,0.13333333333333333,36.63333333333333,0
14,2.05,0.3,1.3333333333333333,0.21666666666666667,0
15,6.1,0.38333333333333336,0.65,0.45,0
16,1.0166666666666666,5.283333333333333,0.4,2.033333333333333,0
17,0.45,10.85,1.3166666666666667,0.11666666666666667,0
18,1.9166666666666667,6.733333333333333,4.75,9.683333333333334,0
19,0.0,0.0,60.0,0.0,0
20,1.3833333333333333,35.233333333333334,1.2166666666666666,12.0,0
21,1.2666666666666666,5.283333333333333,0.3,7.416666666666667,0
22,2.75,8.05,2.4,1.5833333333333333,0
23,0.9833333333333333,13.266666666666667,0.5666666666666667,1.1833333333333333,0
