Hour,blue_cage,green_cage,red_cage,orange_cage,yellow_cage
0,14.866666666666667,16.25,0.0,0.0,0
1,0.43333333333333335,50.2,0.0,9.366666666666667,0
2,0.0,0.0,0.0,0.0,0
3,0.0,0.0,0.0,0.0,0
4,56.21666666666667,1.6,0.0,0.0,0
5,0.0,0.0,0.0,0.0,0
6,0.0,0.0,0.0,0.0,0
7,5.816666666666666,54.18333333333333,0.0,0.0,0
8,0.0,0.0,0.0,0.0,0
9,6.166666666666667,12.0,0.0,1.6833333333333333,0
10,0.0,0.0,0.0,0.0,0
11,1.3666666666666667,14.4,17.983333333333334,0.9,0
12,0.7,4.683333333333334,3.933333333333333,4.4,0
13,5.3,3.316666666666667,10.9,2.15,0
14,14.183333333333334,7.483333333333333,9.733333333333333,20.9,0
15,2.8833333333333333,14.516666666666667,11.683333333333334,1.7333333333333334,0
16,0.0,0.0,0.0,0.0,0
17,53.18333333333333,2.8833333333333333,2.6333333333333333,0.0,0
18,7.75,33.45,10.1,0.0,0
19,5.216666666666667,54.78333333333333,0.0,0.0,0
20,0.0,0.0,0.0,0.0,0
21,43.416666666666664,11.483333333333333,0.8166666666666667,0.0,0
22,2.8833333333333333,0.43333333333333335,19.35,2.283333333333333,0
23,7.716666666666667,1.6833333333333333,0.5,2.033333333333333,0
