Hour,red_cage,blue_cage,orange_cage,yellow_cage,green_cage
0,33.31666666666667,26.683333333333334,0.0,0,0.0
1,0.0,0.0,0.0,0,60.0
2,0.0,0.0,0.0,0,0.0
3,0.0,0.0,0.0,0,0.0
4,0.0,3.433333333333333,53.25,0,0.7833333333333333
5,0.0,0.0,0.0,0,0.0
6,0.0,3.95,56.05,0,0.0
7,0.0,0.0,0.0,0,0.0
8,0.0,0.0,0.0,0,0.0
9,0.0,6.566666666666666,0.65,0,52.78333333333333
10,0.0,0.0,0.0,0,0.0
11,2.45,11.7,11.15,0,0.26666666666666666
12,3.05,3.6666666666666665,5.75,0,3.7666666666666666
13,3.05,2.8833333333333333,0.5166666666666667,0,0.48333333333333334
14,1.7833333333333334,7.4,9.216666666666667,0,12.2
15,3.283333333333333,7.05,0.85,0,6.533333333333333
16,0.0,0.7166666666666667,4.083333333333333,0,2.5166666666666666
17,0.8166666666666667,0.6166666666666667,3.283333333333333,0,6.433333333333334
18,3.1,12.033333333333333,1.75,0,1.3333333333333333
19,0.0,0.0,0.0,0,0.0
20,0.0,0.0,0.0,0,0.0
21,0.0,1.4666666666666666,19.2,0,17.166666666666668
22,3.816666666666667,11.4,0.5,0,1.4166666666666667
23,0.0,1.3,0.4166666666666667,0,52.1
