Hour,blue_cage,green_cage,orange_cage,red_cage,yellow_cage
0,11.883333333333333,3.3833333333333333,5.933333333333334,0.0,0
1,0.0,0.0,0.0,0.0,0
2,0.0,0.0,0.0,0.0,0
3,60.0,0.0,0.0,0.0,0
4,0.0,0.0,0.0,0.0,0
5,0.0,0.0,0.0,0.0,0
6,14.15,45.85,0.0,0.0,0
7,0.0,0.0,0.0,0.0,0
8,0.0,0.0,0.0,0.0,0
9,0.0,0.0,0.0,0.0,0
10,5.55,0.31666666666666665,50.71666666666667,3.4166666666666665,0
11,0.45,0.0,0.65,52.483333333333334,0
12,0.6333333333333333,0.21666666666666667,17.35,40.5,0
13,2.283333333333333,5.3,0.0,42.96666666666667,0
14,13.716666666666667,15.516666666666667,4.966666666666667,0.38333333333333336,0
15,11.7,1.9333333333333333,15.183333333333334,11.4,0
16,7.983333333333333,34.53333333333333,0.0,0.0,0
17,0.0,0.0,0.0,0.0,0
18,60.0,0.0,0.0,0.0,0
19,5.5,0.48333333333333334,0.0,31.733333333333334,0
20,0.0,0.0,0.0,0.0,0
21,27.916666666666668,0.65,0.0,31.433333333333334,0
22,0.0,0.0,0.0,0.0,0
23,4.5,15.416666666666666,1.65,9.766666666666667,0
