Hour,blue_cage,green_cage,red_cage,orange_cage,yellow_cage
0,51.4,0.9,0.0,0.0,0
1,0.0,0.0,0.0,0.0,0
2,0.0,0.0,0.0,0.0,0
3,0.0,0.0,0.0,0.0,0
4,60.0,0.0,0.0,0.0,0
5,0.0,60.0,0.0,0.0,0
6,0.0,0.0,0.0,0.0,0
7,0.36666666666666664,13.116666666666667,0.75,30.333333333333332,0
8,0.0,0.0,0.0,0.0,0
9,0.0,0.0,0.0,0.0,0
10,0.11666666666666667,27.183333333333334,22.333333333333332,9.016666666666667,0
11,0.8,1.0166666666666666,2.283333333333333,8.566666666666666,0
12,0.3,9.05,7.75,0.6166666666666667,0
13,3.8,0.6333333333333333,6.5,3.7,0
14,0.9666666666666667,3.5833333333333335,0.2,0.6333333333333333,0
15,0.13333333333333333,4.7,3.1666666666666665,1.7166666666666666,0
16,9.466666666666667,3.466666666666667,0.6,0.6,0
17,8.116666666666667,3.2666666666666666,2.533333333333333,7.633333333333334,0
18,1.2166666666666666,29.416666666666668,1.7666666666666666,0.6666666666666666,0
19,4.383333333333334,0.5166666666666667,4.333333333333333,1.0333333333333334,0
20,14.533333333333333,8.6,1.3666666666666667,0.0,0
21,49.166666666666664,4.633333333333334,0.0,5.966666666666667,0
22,3.3833333333333333,15.983333333333333,3.15,2.3666666666666667,0
23,3.95,49.13333333333333,6.333333333333333,0.5833333333333334,0
