Hour,blue_cage,green_cage,red_cage,orange_cage,yellow_cage
0,54.983333333333334,0.5,0.0,0.0,0.0
1,18.133333333333333,0.15,0.8,0.4166666666666667,19.95
2,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0
5,0.9,57.483333333333334,0.5333333333333333,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0
8,0.0,3.066666666666667,0.0,54.666666666666664,2.2666666666666666
9,52.71666666666667,4.733333333333333,0.0,0.0,2.55
10,0.9,22.766666666666666,0.0,0.0,34.93333333333333
11,2.55,1.4,6.083333333333333,4.483333333333333,0.5666666666666667
12,2.8666666666666667,0.26666666666666666,21.05,2.75,0.0
13,0.9833333333333333,38.483333333333334,1.3166666666666667,0.31666666666666665,4.616666666666666
14,14.5,3.6666666666666665,2.533333333333333,1.15,0.0
15,0.31666666666666665,0.26666666666666666,4.9,0.26666666666666666,14.416666666666666
16,0.3,36.766666666666666,2.3,0.4166666666666667,0.0
17,0.35,1.1,4.416666666666667,28.65,0.3
18,0.5333333333333333,5.266666666666667,1.0,1.05,7.2
19,0.26666666666666666,0.5666666666666667,3.8,1.4833333333333334,4.05
20,0.31666666666666665,1.0333333333333334,16.0,4.633333333333334,1.45
21,0.95,6.866666666666666,0.7666666666666667,7.516666666666667,0.95
22,9.8,46.3,0.0,0.4666666666666667,2.5833333333333335
23,4.216666666666667,0.8666666666666667,0.8166666666666667,0.9333333333333333,19.866666666666667
