Hour,orange_cage,yellow_cage,red_cage,green_cage,blue_cage
0,3.183333333333333,56.81666666666667,0.0,0.0,0.0
1,0.0,0.0,0.0,60.0,0.0
2,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0
6,48.13333333333333,0.25,0.0,1.9333333333333333,2.466666666666667
7,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0
9,0.0,3.6666666666666665,0.0,50.45,5.883333333333334
10,0.0,0.0,59.516666666666666,0.0,0.48333333333333334
11,3.3666666666666667,2.1333333333333333,2.1166666666666667,3.6166666666666667,2.35
12,0.95,7.516666666666667,0.8333333333333334,14.116666666666667,1.15
13,35.7,0.0,0.0,8.566666666666666,13.316666666666666
14,14.166666666666666,0.43333333333333335,2.966666666666667,0.26666666666666666,0.36666666666666664
15,17.483333333333334,0.7,2.066666666666667,12.916666666666666,5.583333333333333
16,0.3,0.0,2.45,0.4166666666666667,56.833333333333336
17,1.6333333333333333,17.933333333333334,0.0,4.466666666666667,0.48333333333333334
18,0.13333333333333333,0.4,0.0,3.683333333333333,18.95
19,0.0,50.166666666666664,0.0,0.0,9.833333333333334
20,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,52.583333333333336,3.783333333333333
22,0.0,15.666666666666666,11.65,1.0833333333333333,0.9166666666666666
23,45.416666666666664,0.0,0.0,3.5,0.9166666666666666
