Hour,blue_cage,green_cage,orange_cage,red_cage,yellow_cage
0,35.583333333333336,4.483333333333333,8.683333333333334,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0
3,1.3,0.5666666666666667,0.0,0.0,58.13333333333333
4,0.0,0.0,0.0,0.0,0.0
5,2.4833333333333334,0.6,0.0,0.0,56.916666666666664
6,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0
8,4.533333333333333,55.46666666666667,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0
10,6.283333333333333,19.066666666666666,0.0,0.0,34.65
11,1.55,35.733333333333334,1.8333333333333333,0.9666666666666667,2.783333333333333
12,3.2,1.5333333333333334,4.566666666666666,2.066666666666667,7.966666666666667
13,24.366666666666667,0.8666666666666667,26.75,0.0,1.3166666666666667
14,3.1166666666666667,1.2666666666666666,4.75,3.4166666666666665,2.066666666666667
15,8.55,0.5333333333333333,6.4,0.0,1.7
16,6.15,0.7833333333333333,4.7,0.0,1.1166666666666667
17,8.233333333333333,10.05,0.4166666666666667,2.6666666666666665,0.6
18,0.45,0.13333333333333333,25.966666666666665,0.0,10.35
19,0.0,0.0,0.0,0.0,0.0
20,9.8,29.233333333333334,0.13333333333333333,0.0,0.0
21,9.666666666666666,12.366666666666667,0.15,0.0,0.5
22,60.0,0.0,0.0,0.0,0.0
23,0.0,0.9333333333333333,0.0,0.0,59.06666666666667
