Hour,orange_cage,green_cage,red_cage,yellow_cage,blue_cage
0,0.9,59.1,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0
2,0.0,49.8,0.0,0.0,10.2
3,0.0,10.333333333333334,0.0,47.266666666666666,2.4
4,0.0,0.0,0.0,0.0,0.0
5,0.0,0.2833333333333333,58.43333333333333,0.0,1.2833333333333334
6,28.466666666666665,3.6666666666666665,1.7666666666666666,0.18333333333333332,0.08333333333333333
7,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0
9,42.36666666666667,1.5833333333333333,0.0,9.966666666666667,2.533333333333333
10,60.0,0.0,0.0,0.0,0.0
11,0.11666666666666667,26.55,2.2,0.35,1.5
12,0.2,0.36666666666666664,1.3333333333333333,2.1333333333333333,3.716666666666667
13,0.4,9.433333333333334,2.0,2.566666666666667,2.3666666666666667
14,1.4666666666666666,8.666666666666666,16.316666666666666,2.6166666666666667,0.9166666666666666
15,0.5666666666666667,0.75,6.133333333333334,1.5833333333333333,0.6166666666666667
16,0.4666666666666667,0.5333333333333333,52.63333333333333,0.9833333333333333,1.2166666666666666
17,2.7333333333333334,0.6333333333333333,5.266666666666667,0.5666666666666667,0.8333333333333334
18,1.3666666666666667,13.716666666666667,0.95,1.3166666666666667,6.85
19,0.16666666666666666,2.033333333333333,3.4166666666666665,0.21666666666666667,4.266666666666667
20,2.216666666666667,0.7,4.766666666666667,2.0,0.5333333333333333
21,2.9,2.6166666666666667,0.0,1.6,5.183333333333334
22,0.23333333333333334,10.833333333333334,7.733333333333333,0.0,0.5166666666666667
23,2.6166666666666667,1.85,36.3,0.0,0.26666666666666666
