Hour,red_cage,green_cage,blue_cage,yellow_cage,orange_cage
0,0.3,0.3,17.916666666666668,5.6,0.0
1,0.8,12.516666666666667,2.05,0.0,33.38333333333333
2,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0
5,0.0,0.4166666666666667,3.7666666666666666,55.81666666666667,0.0
6,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,60.0,0.0,0.0
9,32.0,8.333333333333334,19.666666666666668,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0
11,5.2,1.2166666666666666,14.783333333333333,22.616666666666667,8.233333333333333
12,0.0,0.0,0.0,0.0,0.0
13,17.366666666666667,5.183333333333334,2.9,0.23333333333333334,23.483333333333334
14,14.283333333333333,1.0166666666666666,1.6833333333333333,34.65,8.366666666666667
15,0.0,13.466666666666667,0.31666666666666665,11.316666666666666,0.16666666666666666
16,19.216666666666665,1.2166666666666666,13.933333333333334,16.6,3.8333333333333335
17,0.0,7.633333333333334,8.783333333333333,38.96666666666667,2.05
18,0.0,60.0,0.0,0.0,0.0
19,0.0,0.0,55.0,5.0,0.0
20,59.35,0.36666666666666664,0.0,0.2833333333333333,0.0
21,10.066666666666666,29.2,19.1,1.6333333333333333,0.0
22,5.066666666666666,2.033333333333333,0.18333333333333332,2.3666666666666667,1.1833333333333333
23,0.0,5.716666666666667,0.0,54.28333333333333,0.0
