Hour,red_cage,orange_cage,yellow_cage,green_cage,blue_cage
0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0
3,56.86666666666667,0.0,0.0,3.1333333333333333,0.0
4,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,57.81666666666667,2.183333333333333
7,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0
9,0.25,0.75,45.78333333333333,1.6,1.65
10,0.0,0.0,0.0,0.0,0.0
11,11.6,0.7833333333333333,2.0833333333333335,2.05,0.5166666666666667
12,5.083333333333333,7.35,4.45,2.25,1.3833333333333333
13,0.31666666666666665,1.55,11.383333333333333,2.45,3.2
14,6.8,14.833333333333334,0.0,1.7,7.533333333333333
15,0.26666666666666666,0.5333333333333333,6.233333333333333,9.716666666666667,1.8666666666666667
16,4.6,1.2166666666666666,15.15,4.2,0.23333333333333334
17,0.0,59.166666666666664,0.0,0.8333333333333334,0.0
18,0.0,4.0,0.0,15.966666666666667,38.03333333333333
19,5.433333333333334,0.36666666666666664,3.25,1.0,4.2
20,0.6166666666666667,5.35,0.21666666666666667,1.0,8.466666666666667
21,5.15,2.7,1.5666666666666667,3.45,0.25
22,2.966666666666667,11.95,9.633333333333333,0.6833333333333333,6.766666666666667
23,0.0,0.0,0.3333333333333333,59.666666666666664,0.0
