Hour,green_cage,red_cage,orange_cage,yellow_cage,blue_cage
0,60.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0
5,44.06666666666667,2.25,1.6666666666666667,1.6333333333333333,0.35
6,0.0,0.0,0.0,0.0,60.0
7,0.7666666666666667,53.016666666666666,6.216666666666667,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0
9,1.15,0.0,13.3,0.0,44.333333333333336
10,2.316666666666667,14.383333333333333,0.0,0.0,29.533333333333335
11,2.433333333333333,2.8666666666666667,29.683333333333334,0.15,0.8833333333333333
12,2.466666666666667,13.716666666666667,0.4166666666666667,0.5166666666666667,0.18333333333333332
13,2.05,6.65,0.48333333333333334,0.0,7.516666666666667
14,1.1333333333333333,1.45,4.45,0.48333333333333334,0.15
15,5.533333333333333,3.95,8.433333333333334,1.1,5.133333333333334
16,2.9166666666666665,2.9166666666666665,3.35,2.25,0.7666666666666667
17,5.85,5.7,5.65,0.4166666666666667,0.43333333333333335
18,1.2166666666666666,0.4166666666666667,15.083333333333334,4.95,0.3333333333333333
19,53.06666666666667,0.0,6.516666666666667,0.0,0.4166666666666667
20,59.4,0.0,0.0,0.6,0.0
21,6.333333333333333,0.65,7.033333333333333,3.1,3.7333333333333334
22,4.25,0.8666666666666667,0.0,14.683333333333334,1.9
23,0.0,0.0,0.0,0.0,60.0
