Hour,green_cage,blue_cage,yellow_cage,orange_cage,red_cage
0,45.1,1.5833333333333333,2.75,5.433333333333334,0.0
1,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,60.0,0.0
4,0.5166666666666667,0.3,3.283333333333333,0.36666666666666664,37.56666666666667
5,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0
7,6.366666666666666,0.26666666666666666,0.2833333333333333,0.0,53.083333333333336
8,0.0,0.0,0.0,0.0,0.0
9,13.216666666666667,45.0,0.0,0.26666666666666666,0.0
10,0.2,0.0,56.88333333333333,0.95,0.38333333333333336
11,2.1,0.8333333333333334,10.433333333333334,31.4,0.7
12,5.25,2.533333333333333,0.31666666666666665,1.4166666666666667,1.4333333333333333
13,0.45,14.433333333333334,0.3,0.43333333333333335,1.7166666666666666
14,0.9666666666666667,40.1,6.566666666666666,0.25,0.6833333333333333
15,0.55,0.9666666666666667,0.6333333333333333,0.4166666666666667,6.05
16,0.23333333333333334,0.43333333333333335,2.566666666666667,0.7166666666666667,36.95
17,1.5166666666666666,0.8333333333333334,0.7333333333333333,2.05,18.683333333333334
18,0.1,3.2333333333333334,0.8666666666666667,0.95,1.2
19,0.7666666666666667,20.5,5.916666666666667,0.6,2.6166666666666667
20,0.8666666666666667,1.8833333333333333,1.15,0.5166666666666667,0.8333333333333334
21,0.18333333333333332,1.45,3.95,1.7166666666666666,2.4833333333333334
22,1.2166666666666666,22.766666666666666,0.48333333333333334,0.45,1.15
23,13.616666666666667,0.6,37.916666666666664,0.0,0.55
