Hour,blue_cage,red_cage,orange_cage,yellow_cage,green_cage
0,60.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0
3,1.5,0.0,0.0,56.733333333333334,0.9833333333333333
4,0.0,0.0,0.0,0.0,0.0
5,2.0166666666666666,0.0,0.0,56.983333333333334,1.0
6,0.0,0.0,0.0,0.0,0.0
7,0.38333333333333336,0.0,0.9,49.483333333333334,4.1
8,0.0,0.0,0.0,0.0,0.0
9,4.6,0.7833333333333333,1.6333333333333333,0.43333333333333335,47.06666666666667
10,16.466666666666665,25.633333333333333,0.16666666666666666,3.1333333333333333,0.25
11,1.7,8.016666666666667,0.23333333333333334,1.4333333333333333,48.06666666666667
12,0.21666666666666667,0.0,0.0,59.78333333333333,0.0
13,0.0,0.0,0.0,60.0,0.0
14,0.0,0.0,0.0,60.0,0.0
15,1.2333333333333334,1.75,0.75,0.5166666666666667,9.716666666666667
16,1.3666666666666667,7.933333333333334,0.25,0.48333333333333334,0.15
17,0.7833333333333333,1.2333333333333334,0.1,1.2666666666666666,0.18333333333333332
18,5.516666666666667,5.416666666666667,0.35,0.5,0.9
19,5.583333333333333,5.116666666666666,1.4,3.183333333333333,0.8666666666666667
20,3.15,0.6666666666666666,0.8833333333333333,0.5166666666666667,0.48333333333333334
21,0.36666666666666664,1.5,4.433333333333334,1.9333333333333333,0.2833333333333333
22,0.9,2.533333333333333,1.35,0.6333333333333333,21.8
23,2.716666666666667,0.5166666666666667,0.3333333333333333,5.533333333333333,37.85
