Hour,blue_cage,yellow_cage,orange_cage,green_cage,red_cage
0,1.4166666666666667,13.066666666666666,0.5166666666666667,0.15,5.066666666666666
1,0.0,0.0,1.1833333333333333,58.81666666666667,0.0
2,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0
4,59.766666666666666,0.0,0.23333333333333334,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0
6,59.03333333333333,0.2,0.0,0.7666666666666667,0.0
7,0.5333333333333333,55.06666666666667,4.25,0.15,0.0
8,0.0,0.0,0.0,0.0,0.0
9,19.983333333333334,19.65,19.733333333333334,0.6333333333333333,0.0
10,0.0,0.0,0.0,0.0,0.0
11,1.5,6.1,41.016666666666666,7.866666666666666,0.0
12,0.3,3.783333333333333,0.8333333333333334,0.5166666666666667,4.616666666666666
13,4.316666666666666,0.6333333333333333,1.8666666666666667,5.45,1.8666666666666667
14,0.7833333333333333,4.966666666666667,4.466666666666667,1.0166666666666666,0.0
15,1.5333333333333334,0.15,0.65,6.766666666666667,9.266666666666667
16,5.716666666666667,8.466666666666667,0.26666666666666666,6.9,0.8666666666666667
17,1.6166666666666667,12.7,0.9,0.85,0.5333333333333333
18,9.383333333333333,8.95,0.26666666666666666,0.5666666666666667,2.6333333333333333
19,0.6833333333333333,1.65,0.4666666666666667,2.25,2.2
20,0.0,0.0,0.0,0.0,0.0
21,0.26666666666666666,0.0,0.0,0.0,59.733333333333334
22,3.75,0.8833333333333333,2.6666666666666665,16.75,0.0
23,3.1166666666666667,0.18333333333333332,0.43333333333333335,4.766666666666667,3.4166666666666665
