Hour,red_cage,orange_cage,yellow_cage,green_cage,blue_cage
0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0
3,0.0,60.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.9833333333333333,59.016666666666666
5,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,56.516666666666666,0.48333333333333334,3.0
8,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0
10,0.0,0.7666666666666667,0.0,0.0,59.233333333333334
11,0.0,1.8333333333333333,20.666666666666668,14.216666666666667,0.2833333333333333
12,3.1,3.6,4.75,0.25,0.8166666666666667
13,1.9333333333333333,0.15,2.216666666666667,2.216666666666667,0.16666666666666666
14,0.0,3.05,8.9,4.383333333333334,9.5
15,0.0,5.116666666666666,8.25,1.45,1.1166666666666667
16,0.0,0.9833333333333333,1.4,13.7,7.666666666666667
17,0.6666666666666666,0.26666666666666666,4.616666666666666,6.216666666666667,0.6666666666666666
18,0.0,0.48333333333333334,0.0,46.06666666666667,7.55
19,0.0,0.0,0.0,0.0,0.0
20,1.4,0.55,0.0,0.0,58.05
21,0.0,40.05,16.0,0.15,1.1833333333333333
22,9.55,0.15,11.783333333333333,2.2666666666666666,10.083333333333334
23,0.0,0.7333333333333333,11.1,6.55,21.616666666666667
