Hour,green_cage,red_cage,orange_cage,yellow_cage,blue_cage
0,60.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.18333333333333332,0.0,59.81666666666667
2,0.0,0.0,0.0,0.0,0.0
3,52.5,0.0,0.5833333333333334,4.433333333333334,1.7166666666666666
4,0.0,0.0,0.0,0.0,0.0
5,57.06666666666667,0.0,0.0,0.7,1.2833333333333334
6,60.0,0.0,0.0,0.0,0.0
7,20.3,0.0,0.31666666666666665,37.63333333333333,1.75
8,0.0,0.0,0.0,0.0,0.0
9,0.9833333333333333,0.0,6.383333333333334,32.45,0.31666666666666665
10,28.466666666666665,10.133333333333333,0.0,18.583333333333332,0.85
11,0.48333333333333334,51.53333333333333,0.0,0.7333333333333333,0.3
12,1.05,0.3333333333333333,2.4166666666666665,2.783333333333333,3.7
13,0.48333333333333334,0.26666666666666666,0.35,1.9833333333333334,0.8333333333333334
14,0.5833333333333334,2.25,5.766666666666667,4.933333333333334,5.383333333333334
15,4.55,0.2,0.21666666666666667,2.3333333333333335,2.15
16,1.0166666666666666,33.9,0.7833333333333333,0.45,2.5166666666666666
17,0.0,0.0,0.0,0.0,0.0
18,3.033333333333333,22.783333333333335,0.75,10.05,0.11666666666666667
19,4.116666666666666,13.266666666666667,0.5,2.3666666666666667,3.2333333333333334
20,3.8833333333333333,3.0833333333333335,0.08333333333333333,0.23333333333333334,1.8666666666666667
21,3.816666666666667,1.55,0.26666666666666666,1.8833333333333333,0.5333333333333333
22,1.7333333333333334,1.6666666666666667,8.6,28.566666666666666,1.2666666666666666
23,0.0,0.0,40.8,0.35,1.55
