Hour,green_cage,blue_cage,orange_cage,yellow_cage,red_cage
0,0.4,23.883333333333333,1.1,0.3333333333333333,0.0
1,0.0,1.7,51.666666666666664,4.116666666666666,0.0
2,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0
6,0.26666666666666666,1.3666666666666667,0.0,43.78333333333333,0.0
7,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0
9,1.1,31.933333333333334,1.2,4.25,0.0
10,57.06666666666667,2.55,0.0,0.0,0.0
11,1.3333333333333333,1.4666666666666666,14.316666666666666,2.3833333333333333,5.566666666666666
12,3.0166666666666666,0.75,2.75,1.8166666666666667,0.85
13,5.9,4.633333333333334,0.6666666666666666,8.283333333333333,0.0
14,0.5333333333333333,49.11666666666667,0.0,0.0,0.0
15,1.9166666666666667,0.38333333333333336,33.68333333333333,0.4666666666666667,9.566666666666666
16,1.35,0.95,1.5833333333333333,4.566666666666666,4.3
17,1.65,10.083333333333334,13.216666666666667,0.95,0.0
18,58.233333333333334,0.4,1.1666666666666667,0.2,0.0
19,0.5166666666666667,4.25,1.1166666666666667,0.11666666666666667,0.0
20,0.9166666666666666,2.6666666666666665,5.75,0.9833333333333333,0.0
21,3.1166666666666667,0.85,0.8,5.883333333333334,1.4
22,4.65,9.916666666666666,0.7166666666666667,10.3,3.75
23,0.0,0.0,0.0,60.0,0.0
