Hour,yellow_cage,orange_cage,green_cage,blue_cage,red_cage
0,5.083333333333333,1.65,1.4333333333333333,51.36666666666667,0.0
1,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0
6,18.3,23.15,2.3833333333333333,2.0,0.0
7,0.0,0.0,0.0,0.0,0.0
8,0.11666666666666667,44.6,0.9,14.383333333333333,0.0
9,3.3333333333333335,56.36666666666667,0.13333333333333333,0.0,0.0
10,0.43333333333333335,0.18333333333333332,3.0,17.7,3.3666666666666667
11,6.7,1.5333333333333334,0.4166666666666667,2.6666666666666665,5.883333333333334
12,6.916666666666667,1.1166666666666667,0.0,0.36666666666666664,3.6666666666666665
13,3.066666666666667,0.23333333333333334,0.2,0.6833333333333333,6.05
14,0.11666666666666667,1.7833333333333334,0.11666666666666667,4.7,0.4166666666666667
15,0.35,0.3333333333333333,16.2,22.783333333333335,0.0
16,23.783333333333335,0.4,0.31666666666666665,1.2833333333333334,0.6666666666666666
17,2.8333333333333335,0.36666666666666664,0.26666666666666666,1.0166666666666666,0.0
18,1.0666666666666667,4.083333333333333,3.6,0.3333333333333333,0.36666666666666664
19,1.5333333333333334,0.36666666666666664,3.7666666666666666,40.53333333333333,0.0
20,60.0,0.0,0.0,0.0,0.0
21,0.0,0.23333333333333334,0.13333333333333333,59.63333333333333,0.0
22,28.883333333333333,0.0,0.31666666666666665,13.25,1.1666666666666667
23,0.3,0.31666666666666665,25.2,0.2833333333333333,3.6
