Hour,orange_cage,red_cage,yellow_cage,green_cage,blue_cage
0,60.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.6333333333333333,59.36666666666667
2,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,60.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0
5,1.0666666666666667,0.0,1.1333333333333333,28.816666666666666,17.75
6,0.0,0.0,2.466666666666667,0.5,57.03333333333333
7,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0
9,0.48333333333333334,0.0,15.116666666666667,0.23333333333333334,42.68333333333333
10,0.0,0.0,0.3,59.7,0.0
11,0.18333333333333332,0.0,1.4333333333333333,1.2666666666666666,31.383333333333333
12,2.533333333333333,4.033333333333333,4.183333333333334,0.35,0.8166666666666667
13,13.233333333333333,0.6166666666666667,5.366666666666666,0.7833333333333333,0.15
14,0.65,1.6333333333333333,3.75,9.45,6.683333333333334
15,1.9333333333333333,8.733333333333333,2.066666666666667,0.35,2.3333333333333335
16,3.966666666666667,0.8333333333333334,10.966666666666667,7.866666666666666,1.35
17,1.65,1.95,3.5,1.2666666666666666,0.23333333333333334
18,0.0,7.166666666666667,8.383333333333333,0.3333333333333333,29.916666666666668
19,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0
21,0.36666666666666664,4.583333333333333,1.8833333333333333,3.566666666666667,14.116666666666667
22,0.4166666666666667,0.0,1.9833333333333334,3.1333333333333333,20.733333333333334
23,0.5,0.0,0.35,5.8,17.866666666666667
