Hour,yellow_cage,blue_cage,orange_cage,red_cage,green_cage
0,10.266666666666667,45.333333333333336,3.7,0.0,0.0
1,0.0,0.2,0.16666666666666666,59.35,0.2833333333333333
2,60.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0
4,8.25,0.9833333333333333,22.533333333333335,2.2666666666666666,0.16666666666666666
5,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0
7,0.0,58.46666666666667,0.8666666666666667,0.0,0.6666666666666666
8,5.7,0.0,3.9,3.8666666666666667,46.233333333333334
9,0.0,0.0,0.0,0.0,0.0
10,0.55,22.666666666666668,2.5,0.0,33.7
11,3.183333333333333,1.5166666666666666,0.6,33.333333333333336,0.36666666666666664
12,0.26666666666666666,1.6333333333333333,0.1,0.2,2.033333333333333
13,9.566666666666666,1.75,0.23333333333333334,1.95,2.45
14,4.85,0.5166666666666667,0.13333333333333333,1.5,0.5333333333333333
15,0.4666666666666667,0.2,0.18333333333333332,0.5833333333333334,0.35
16,3.0166666666666666,0.2,0.45,0.8666666666666667,4.75
17,7.516666666666667,5.25,0.23333333333333334,27.416666666666668,0.36666666666666664
18,58.85,0.6833333333333333,0.0,0.26666666666666666,0.2
19,0.0,0.0,0.0,0.0,0.0
20,0.4,0.3333333333333333,0.35,0.65,38.5
21,4.55,4.8,3.2666666666666666,8.683333333333334,0.8833333333333333
22,0.26666666666666666,3.75,0.7166666666666667,3.7666666666666666,0.4666666666666667
23,0.2833333333333333,8.666666666666666,0.25,0.43333333333333335,0.18333333333333332
