Hour,yellow_cage,blue_cage,red_cage,orange_cage,green_cage
0,0.25,59.75,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,2.0166666666666666,57.983333333333334
3,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0
5,0.43333333333333335,0.2,1.6333333333333333,56.21666666666667,0.2833333333333333
6,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0
8,59.15,0.6166666666666667,0.0,0.0,0.23333333333333334
9,26.733333333333334,0.5666666666666667,0.8333333333333334,23.316666666666666,0.8
10,25.266666666666666,34.733333333333334,0.0,0.0,0.0
11,1.8333333333333333,0.0,2.6333333333333333,6.783333333333333,45.68333333333333
12,10.533333333333333,0.4166666666666667,0.4,9.116666666666667,0.5333333333333333
13,5.516666666666667,7.0,2.683333333333333,2.05,6.216666666666667
14,13.45,16.983333333333334,9.2,0.35,2.15
15,32.916666666666664,2.7666666666666666,1.2666666666666666,2.85,2.316666666666667
16,0.0,0.0,0.0,0.0,0.0
17,13.283333333333333,2.5833333333333335,1.4166666666666667,0.25,5.5
18,6.883333333333334,0.43333333333333335,6.583333333333333,1.0666666666666667,1.3833333333333333
19,3.05,0.7166666666666667,0.4666666666666667,0.3,21.95
20,3.0,4.033333333333333,3.933333333333333,1.5,0.3333333333333333
21,1.4666666666666666,11.733333333333333,4.666666666666667,1.8,0.7166666666666667
22,0.4666666666666667,6.95,24.666666666666668,1.9,0.13333333333333333
23,0.0,0.0,59.06666666666667,0.6666666666666666,0.26666666666666666
