Hour,green_cage,blue_cage,red_cage,orange_cage,yellow_cage
0,4.616666666666666,55.38333333333333,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0
2,0.2833333333333333,0.48333333333333334,58.9,0.3333333333333333,0.0
3,0.0,0.0,0.0,0.0,0.0
4,10.85,48.71666666666667,0.0,0.0,0.43333333333333335
5,0.0,0.0,0.0,60.0,0.0
6,1.8333333333333333,8.35,0.55,17.666666666666668,4.1
7,0.0,0.0,0.0,0.0,0.0
8,1.2333333333333334,0.0,0.0,0.0,58.766666666666666
9,0.0,0.0,0.0,0.0,0.0
10,1.6333333333333333,0.7166666666666667,4.316666666666666,0.4166666666666667,0.9333333333333333
11,1.25,37.5,1.45,1.0,2.8833333333333333
12,2.45,0.9666666666666667,46.85,3.4,0.95
13,10.183333333333334,3.1333333333333333,18.016666666666666,1.85,0.16666666666666666
14,2.6333333333333333,0.6166666666666667,8.466666666666667,0.45,1.1666666666666667
15,1.1666666666666667,9.933333333333334,0.8166666666666667,4.716666666666667,1.1
16,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,0.0
18,10.55,2.433333333333333,1.3,1.0166666666666666,5.8
19,4.833333333333333,0.16666666666666666,10.383333333333333,0.3,1.1166666666666667
20,1.55,0.21666666666666667,3.0833333333333335,12.383333333333333,0.0
21,4.25,2.0,2.1333333333333333,5.383333333333334,0.5166666666666667
22,17.8,8.316666666666666,0.0,2.05,1.0
23,0.0,0.0,0.0,0.0,0.0
