Hour,yellow_cage,orange_cage,green_cage,red_cage,blue_cage
0,1.8833333333333333,0.4666666666666667,57.65,0.0,0.0
1,0.0,0.0,59.46666666666667,0.0,0.5333333333333333
2,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0
4,5.183333333333334,1.1333333333333333,29.066666666666666,0.5333333333333333,0.13333333333333333
5,0.0,8.65,51.35,0.0,0.0
6,0.0,0.0,0.0,0.0,60.0
7,0.0,0.0,0.0,0.0,0.0
8,0.0,0.16666666666666666,0.0,0.0,59.833333333333336
9,28.3,0.5,12.983333333333333,3.75,0.23333333333333334
10,1.55,0.06666666666666667,40.45,0.31666666666666665,0.3333333333333333
11,0.23333333333333334,0.7166666666666667,17.733333333333334,1.1333333333333333,0.85
12,0.3333333333333333,0.75,0.13333333333333333,0.7333333333333333,1.8
13,1.6333333333333333,0.7333333333333333,0.7,5.4,0.38333333333333336
14,2.683333333333333,3.7333333333333334,0.5833333333333334,1.4833333333333334,6.6
15,0.75,0.1,1.4333333333333333,0.4,0.23333333333333334
16,0.4,1.4833333333333334,2.683333333333333,2.05,0.3333333333333333
17,0.18333333333333332,1.9666666666666666,1.5,0.0,2.95
18,0.7,0.3,9.85,0.55,0.23333333333333334
19,0.0,0.0,53.5,0.0,6.0
20,0.0,0.0,0.0,0.0,60.0
21,0.1,9.95,2.716666666666667,0.23333333333333334,2.65
22,4.033333333333333,0.38333333333333336,4.7,0.35,0.11666666666666667
23,0.23333333333333334,2.4,29.5,0.0,0.3333333333333333
