Hour,red_cage,blue_cage,yellow_cage,green_cage,orange_cage
0,2.3666666666666667,7.033333333333333,8.85,41.75,0.0
1,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0
5,0.0,55.083333333333336,0.0,0.36666666666666664,4.55
6,0.0,0.0,0.0,0.0,0.0
7,0.0,59.483333333333334,0.0,0.0,0.5166666666666667
8,0.0,27.55,0.9166666666666666,23.65,0.0
9,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,60.0
11,4.866666666666666,3.4833333333333334,2.3666666666666667,0.21666666666666667,0.31666666666666665
12,6.7,33.63333333333333,7.483333333333333,0.4166666666666667,5.933333333333334
13,0.21666666666666667,1.5833333333333333,2.1333333333333333,56.06666666666667,0.0
14,0.0,0.9333333333333333,1.3166666666666667,23.7,0.8833333333333333
15,0.0,0.0,0.0,0.0,60.0
16,3.5,0.43333333333333335,3.533333333333333,0.6333333333333333,6.983333333333333
17,5.433333333333334,6.616666666666666,0.85,2.066666666666667,1.3666666666666667
18,0.6833333333333333,0.7333333333333333,7.666666666666667,0.11666666666666667,0.8833333333333333
19,5.55,0.9,18.333333333333332,1.4333333333333333,1.15
20,5.45,0.26666666666666666,1.4166666666666667,17.45,0.85
21,10.816666666666666,1.35,0.6666666666666666,0.7666666666666667,1.8
22,1.1666666666666667,6.183333333333334,0.31666666666666665,11.0,0.48333333333333334
23,0.0,52.53333333333333,0.0,0.0,7.466666666666667
