Hour,green_cage,orange_cage,blue_cage,red_cage,yellow_cage
0,36.88333333333333,1.35,0.35,2.4,0.5166666666666667
1,0.0,0.0,59.4,0.0,0.6
2,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0
5,0.5833333333333334,0.43333333333333335,33.25,0.0,22.6
6,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0
8,0.0,0.4666666666666667,59.53333333333333,0.0,0.0
9,0.21666666666666667,59.55,0.0,0.0,0.23333333333333334
10,0.6666666666666666,14.383333333333333,0.21666666666666667,0.0,1.0666666666666667
11,2.05,0.18333333333333332,38.5,6.533333333333333,8.833333333333334
12,25.833333333333332,0.36666666666666664,0.5,6.45,6.7
13,13.85,3.2,0.7666666666666667,7.25,1.6333333333333333
14,2.45,2.316666666666667,16.533333333333335,0.55,4.233333333333333
15,0.0,0.0,0.0,0.0,0.0
16,0.9166666666666666,0.06666666666666667,1.9333333333333333,12.866666666666667,1.8333333333333333
17,4.733333333333333,2.433333333333333,0.8,4.45,0.6666666666666666
18,0.31666666666666665,1.2666666666666666,1.1,1.1166666666666667,3.7666666666666666
19,11.566666666666666,5.583333333333333,5.283333333333333,1.6333333333333333,3.9
20,59.1,0.9,0.0,0.0,0.0
21,26.316666666666666,0.23333333333333334,2.433333333333333,6.883333333333334,0.25
22,11.533333333333333,1.7833333333333334,2.533333333333333,1.1666666666666667,0.9
23,0.7666666666666667,0.6833333333333333,1.1833333333333333,0.0,13.3
