Hour,blue_cage,red_cage,orange_cage,yellow_cage,green_cage
0,60.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,60.0
3,0.0,0.0,0.0,0.0,0.0
4,3.283333333333333,0.0,1.4333333333333333,55.28333333333333,0.0
5,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0
9,59.61666666666667,0.0,0.0,0.0,0.38333333333333336
10,0.38333333333333336,21.066666666666666,3.6333333333333333,0.8,13.666666666666666
11,0.9333333333333333,21.2,0.0,0.38333333333333336,29.183333333333334
12,3.85,2.25,8.866666666666667,0.5166666666666667,0.45
13,15.7,3.4833333333333334,0.31666666666666665,1.9666666666666666,3.3333333333333335
14,1.9666666666666666,0.6,1.75,0.75,7.683333333333334
15,2.9833333333333334,10.15,8.516666666666667,1.6666666666666667,0.65
16,0.26666666666666666,0.0,10.516666666666667,4.483333333333333,2.283333333333333
17,12.516666666666667,0.0,3.283333333333333,9.533333333333333,8.033333333333333
18,10.75,21.083333333333332,0.8666666666666667,1.15,0.16666666666666666
19,23.7,0.0,0.0,4.816666666666666,14.433333333333334
20,0.0,0.0,0.0,0.0,0.0
21,7.4,0.0,0.8,10.283333333333333,10.933333333333334
22,10.966666666666667,0.0,0.0,41.166666666666664,0.5
23,0.0,0.0,0.0,60.0,0.0
