Hour,orange_cage,red_cage,green_cage,yellow_cage,blue_cage
0,0.31666666666666665,3.0166666666666666,56.666666666666664,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0
5,8.116666666666667,10.616666666666667,6.2,3.6666666666666665,1.7333333333333334
6,60.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0
8,0.0,58.95,0.6666666666666666,0.0,0.38333333333333336
9,15.216666666666667,0.48333333333333334,2.45,0.0,37.86666666666667
10,0.0,50.31666666666667,0.0,0.0,9.283333333333333
11,0.7833333333333333,1.8333333333333333,5.05,45.15,0.25
12,0.9666666666666667,2.683333333333333,4.25,26.25,0.2833333333333333
13,2.9833333333333334,34.016666666666666,0.2,0.2,0.9166666666666666
14,6.65,1.4666666666666666,0.38333333333333336,2.3833333333333333,0.18333333333333332
15,2.0166666666666666,1.9833333333333334,0.4666666666666667,17.25,0.26666666666666666
16,2.1666666666666665,0.43333333333333335,0.13333333333333333,1.0166666666666666,0.2
17,28.516666666666666,4.966666666666667,2.7333333333333334,3.8333333333333335,1.5166666666666666
18,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0
20,2.2333333333333334,32.88333333333333,0.3,1.0666666666666667,4.633333333333334
21,0.7833333333333333,0.95,0.7666666666666667,45.45,0.1
22,0.23333333333333334,6.433333333333334,0.13333333333333333,41.083333333333336,0.35
23,0.8666666666666667,5.233333333333333,11.15,2.3833333333333333,0.5333333333333333
