Hour,red_cage,orange_cage,yellow_cage,green_cage,blue_cage
0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0
9,3.9,0.21666666666666667,41.55,0.4,4.866666666666666
10,0.0,4.583333333333333,0.9333333333333333,2.1333333333333333,23.4
11,2.7,32.666666666666664,0.8166666666666667,0.4166666666666667,5.266666666666667
12,0.0,1.5166666666666666,0.0,57.233333333333334,1.25
13,13.166666666666666,1.8833333333333333,7.816666666666666,0.38333333333333336,1.0
14,8.416666666666666,0.5166666666666667,2.95,0.85,7.566666666666666
15,1.4333333333333333,0.23333333333333334,0.13333333333333333,22.166666666666668,8.583333333333334
16,0.0,0.0,0.3,3.65,37.4
17,18.6,0.5333333333333333,0.31666666666666665,1.1333333333333333,8.166666666666666
18,12.033333333333333,1.1833333333333333,0.43333333333333335,12.75,2.5166666666666666
19,3.4833333333333334,5.016666666666667,0.45,3.716666666666667,0.9166666666666666
20,0.0,7.716666666666667,0.3,1.0833333333333333,40.266666666666666
21,0.48333333333333334,0.21666666666666667,7.866666666666666,2.55,0.23333333333333334
22,14.383333333333333,2.3,0.5166666666666667,1.2833333333333334,3.683333333333333
23,0.0,0.0,0.0,0.0,0.0
