Mouse1,Mouse2,Interactions,TimeTogether
79FC3C6,7A3DC62,392,80811.78333333334
79FC3C6,79F8602,410,14192.35
79FC3C6,7A3DD05,591,58223.083333333336
79FC3C6,7A2E90C,387,19142.816666666666
79FC3C6,7A3FDE2,483,38195.416666666664
79FC3C6,7A3C016,392,58448.416666666664
7A3DC62,79F8602,373,37272.03333333333
7A3DC62,7A3DD05,506,76716.41666666667
7A3DC62,7A2E90C,347,34239.65
7A3DC62,7A3FDE2,440,14178.85
7A3DC62,7A3C016,354,55497.65
7A3DD05,79F8602,601,38417.65
7A2E90C,79F8602,381,102214.81666666667
7A3FDE2,79F8602,497,85080.48333333334
7A3C016,79F8602,373,40569.28333333333
7A2E90C,7A3DD05,532,35407.433333333334
7A3FDE2,7A3DD05,663,17233.95
7A3C016,7A3DD05,558,57075.816666666666
7A2E90C,7A3FDE2,449,84782.86666666667
7A2E90C,7A3C016,353,41953.833333333336
7A3FDE2,7A3C016,439,40533.0
