Hour,red_cage,orange_cage,yellow_cage,green_cage,blue_cage
1,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,6.166666666666667,0.6166666666666667
3,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.15,0.0
7,0.0,0.0,1.1666666666666667,0.0,110.28333333333333
8,0.0,0.0,0.0,7.2,0.0
9,0.0,0.0,0.0,0.0,0.0
10,0.0,4.666666666666667,0.0,2.6166666666666667,129.4
11,0.0,0.0,0.0,0.0,0.0
12,3.3333333333333335,7.216666666666667,0.0,5.366666666666666,113.6
13,0.06666666666666667,0.7333333333333333,0.0,0.0,0.0
14,0.8333333333333334,5.033333333333333,3.3333333333333335,10.283333333333333,17.2
15,2.4,4.15,0.65,9.1,2.216666666666667
16,4.05,12.883333333333333,2.933333333333333,13.683333333333334,3.1
17,3.966666666666667,3.45,2.3,14.666666666666666,2.183333333333333
18,3.65,3.9166666666666665,15.383333333333333,1.45,3.8
19,2.8,0.0,5.433333333333334,7.116666666666666,0.35
20,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,132.75,0.0,0.0
22,0.0,0.0,0.16666666666666666,40.88333333333333,28.516666666666666
23,0.18333333333333332,9.116666666666667,8.75,10.5,6.816666666666666
24,0.6333333333333333,5.35,3.8666666666666667,34.6,1.8666666666666667
