Hour,red_cage,orange_cage,yellow_cage,green_cage,blue_cage
1,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.26666666666666666,0.5666666666666667,0.0
4,0.3,3.0166666666666666,0.3,5.366666666666666,12.35
5,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0
8,0.0,5.8,0.0,0.4,217.03333333333333
9,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0
11,2.4,2.3833333333333333,0.0,0.5666666666666667,176.36666666666667
12,7.116666666666666,3.8,0.6833333333333333,1.1333333333333333,5.816666666666666
13,5.583333333333333,1.4333333333333333,0.36666666666666664,3.716666666666667,2.8666666666666667
14,0.0,1.3833333333333333,2.1,9.466666666666667,12.216666666666667
15,0.4666666666666667,0.2833333333333333,0.15,5.166666666666667,51.75
16,4.35,3.2333333333333334,3.2666666666666666,13.3,2.066666666666667
17,3.9833333333333334,5.25,3.3,1.55,3.0
18,2.4,5.75,10.283333333333333,10.666666666666666,3.5833333333333335
19,0.0,3.8833333333333333,5.466666666666667,5.916666666666667,3.7333333333333334
20,0.0,7.716666666666667,1.0,8.933333333333334,2.8
21,0.0,0.0,0.4166666666666667,0.7333333333333333,4.466666666666667
22,0.0,3.0833333333333335,0.0,5.883333333333334,0.0
23,0.0,0.0,0.0,0.0,0.0
24,0.0,1.3333333333333333,0.0,10.816666666666666,0.75
