Hour,red_cage,orange_cage,yellow_cage,green_cage,blue_cage
1,3.35,2.75,0.0,1.3,19.133333333333333
2,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0
6,0.31666666666666665,7.816666666666666,0.6666666666666666,4.066666666666666,295.96666666666664
7,0.0,0.0,4.616666666666666,0.3,0.0
8,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0
10,0.0,0.06666666666666667,2.05,3.9833333333333334,215.26666666666668
11,0.0,3.183333333333333,0.0,0.6666666666666666,0.0
12,2.9,0.38333333333333336,0.0,1.3333333333333333,0.0
13,8.283333333333333,0.9166666666666666,0.6333333333333333,3.8833333333333333,2.433333333333333
14,3.033333333333333,6.4,0.23333333333333334,1.4833333333333334,61.85
15,3.2,15.116666666666667,0.6833333333333333,11.433333333333334,2.2666666666666666
16,6.183333333333334,2.0833333333333335,0.9,4.033333333333333,6.633333333333334
17,5.1,1.6666666666666667,1.4,2.4,4.783333333333333
18,9.833333333333334,1.5166666666666666,3.5833333333333335,6.75,0.85
19,5.633333333333334,3.8833333333333333,0.25,5.233333333333333,3.5833333333333335
20,3.3333333333333335,3.3833333333333333,0.03333333333333333,6.983333333333333,6.883333333333334
21,0.0,0.0,0.0,0.0,0.0
22,0.8166666666666667,0.43333333333333335,2.9833333333333334,4.433333333333334,12.816666666666666
23,0.7666666666666667,7.583333333333333,0.0,15.416666666666666,1.5666666666666667
24,1.2166666666666666,1.25,0.5833333333333334,18.766666666666666,6.35
