Mouse,Cage,Time (min)
79FF741,orange_cage,52.10980392156863
79FF741,yellow_cage,3.490686274509804
79FF741,green_cage,68.87990196078431
79FF741,blue_cage,60.85294117647059
79FF741,hub,1024.2686274509804
79FF741,red_cage,5.122058823529412
7A3A0C7,orange_cage,30.9078431372549
7A3A0C7,yellow_cage,3.4745098039215687
7A3A0C7,green_cage,61.78137254901961
7A3A0C7,blue_cage,22.08529411764706
7A3A0C7,hub,1203.5867647058822
7A3A0C7,red_cage,1.7264705882352942
79FE409,orange_cage,23.88480392156863
79FE409,yellow_cage,3.019607843137255
79FE409,green_cage,58.52843137254902
79FE409,blue_cage,49.050000000000004
79FE409,hub,1205.8514705882353
79FE409,red_cage,1.693137254901961
79FBE3F,orange_cage,21.13235294117647
79FBE3F,yellow_cage,4.050490196078432
79FBE3F,green_cage,23.71323529411765
79FBE3F,blue_cage,39.13333333333333
79FBE3F,hub,1273.3171568627452
79FBE3F,red_cage,1.3480392156862746
79FFFB4,orange_cage,27.521568627450982
79FFFB4,yellow_cage,3.5073529411764706
79FFFB4,green_cage,34.51078431372549
79FFFB4,blue_cage,30.371078431372545
79FFFB4,hub,1271.6215686274509
79FFFB4,red_cage,1.7225490196078432
7A3AA93,orange_cage,117.5593137254902
7A3AA93,yellow_cage,3.140686274509804
7A3AA93,green_cage,46.057843137254906
7A3AA93,blue_cage,44.05343137254902
7A3AA93,hub,771.3299019607844
7A3AA93,red_cage,3.2686274509803925
7A3DD59,orange_cage,21.42205882352941
7A3DD59,yellow_cage,2.5127450980392156
7A3DD59,green_cage,35.48186274509804
7A3DD59,blue_cage,11.054411764705883
7A3DD59,hub,1079.9401960784314
7A3DD59,red_cage,2.2931372549019606
7A3BFA4,orange_cage,24.294607843137253
7A3BFA4,yellow_cage,2.980392156862745
7A3BFA4,green_cage,52.01029411764706
7A3BFA4,blue_cage,41.14313725490196
7A3BFA4,hub,1245.051960784314
7A3BFA4,red_cage,0.592156862745098
7A3BBC5,orange_cage,12.63529411764706
7A3BBC5,yellow_cage,2.801470588235294
7A3BBC5,green_cage,33.25098039215686
7A3BBC5,blue_cage,45.35980392156863
7A3BBC5,hub,1262.963725490196
7A3BBC5,red_cage,1.1338235294117647
7A3BF8F,orange_cage,40.82696078431372
7A3BF8F,yellow_cage,2.743137254901961
7A3BF8F,green_cage,35.36274509803921
7A3BF8F,blue_cage,32.63676470588236
7A3BF8F,hub,1245.6563725490196
7A3BF8F,red_cage,1.163235294117647
7A3E335,orange_cage,10.580882352941176
7A3E335,yellow_cage,1.937254901960784
7A3E335,green_cage,58.22303921568627
7A3E335,blue_cage,20.71323529411765
7A3E335,hub,1236.8171568627452
7A3E335,red_cage,0.8553921568627451
7A01F42,orange_cage,38.4406862745098
7A01F42,yellow_cage,3.562254901960784
7A01F42,green_cage,66.70245098039216
7A01F42,blue_cage,60.66078431372549
7A01F42,hub,1114.0911764705882
7A01F42,red_cage,5.316666666666667
79FFE1E,orange_cage,20.520098039215686
79FFE1E,yellow_cage,2.795098039215686
79FFE1E,green_cage,38.23480392156863
79FFE1E,blue_cage,11.003921568627451
79FFE1E,hub,1254.2598039215686
79FFE1E,red_cage,0.9401960784313725
7A017A8,orange_cage,39.33382352941176
7A017A8,yellow_cage,2.8769607843137255
7A017A8,green_cage,30.63137254901961
7A017A8,blue_cage,54.40294117647059
7A017A8,hub,1192.3627450980393
7A017A8,red_cage,1.223529411764706
79FE81B,orange_cage,23.223039215686274
79FE81B,yellow_cage,1.465686274509804
79FE81B,green_cage,54.80539215686275
79FE81B,blue_cage,30.61078431372549
79FE81B,hub,1259.9754901960785
79FE81B,red_cage,0.7166666666666667
7A02564,orange_cage,57.26911764705883
7A02564,yellow_cage,3.1593137254901964
7A02564,green_cage,41.80637254901961
7A02564,blue_cage,51.27696078431373
7A02564,hub,1153.6254901960785
7A02564,red_cage,2.802941176470588
